"TASK_TYPE","SUBLOT","AREA","EQP","STEP","DATES"
"DIE_TO_WIRE_STAGING","Q26066683-3","N3-7","2ZPB110","焊线","9/7/2026 07:12:42"
"DIE_TO_WIRE_STAGING","Q26071743-2","N2-8","2ZPB08","焊线","10/7/2026 12:21:51"
"DIE_TO_WIRE_STAGING","Q26071758-2","N3-5","2ZPB94","焊线","10/7/2026 12:55:30"
"DIE_TO_WIRE_STAGING","Q26067678-3","N9-3","2ZPB105","焊线","9/7/2026 21:56:02"
"DIE_TO_WIRE_STAGING","Q26049967-1","N8-7","2ZPB32","焊线","27/4/2026 13:49:03"
"DIE_TO_WIRE_STAGING","Q26065358-1","N7-2","2ZPB16","焊线","8/7/2026 12:48:05"
"DIE_TO_WIRE_STAGING","Q26071319-6","N4-6","2ZPB74","焊线","10/7/2026 15:20:47"
"DIE_TO_WIRE_STAGING","Q26061775-7","N3-4","2ZPB93","焊线","10/7/2026 14:54:50"
"DIE_TO_WIRE_STAGING","Q26079250-1","N5-2","2ZPB81","焊线","9/7/2026 19:58:13"
"DIE_TO_WIRE_STAGING","Q26061775-6","N3-4","2ZPB93","焊线","10/7/2026 12:34:44"
"DIE_TO_WIRE_STAGING","Q26061298-2","N3-2","2ZPB64","焊线","9/7/2026 19:55:07"
"DIE_TO_WIRE_STAGING","Q26061302-5","N2-9","2ZPB09","焊线","10/7/2026 01:29:12"
"DIE_TO_WIRE_STAGING","Q26061299-2","N6-6","2ZPB60","焊线","10/7/2026 01:41:47"
"DIE_TO_WIRE_STAGING","Q26065359-6","N7-2","2ZPB16","焊线","10/7/2026 10:56:23"
"DIE_TO_WIRE_STAGING","Q26061298-3","N3-2","2ZPB64","焊线","10/7/2026 00:48:04"
"DIE_TO_WIRE_STAGING","Q26071170-2","N2-1","2ZPB01","焊线","10/7/2026 13:27:33"
"DIE_TO_WIRE_STAGING","Q26069Y01-1","N8-8","2ZPB51","焊线","9/6/2026 04:13:08"
"DIE_TO_WIRE_STAGING","Q26057268-5","N1-8","2ZPB20","焊线","9/7/2026 03:13:15"
"DIE_TO_WIRE_STAGING","Q26071414-1","N4-1","2ZPB67","焊线","8/7/2026 11:46:49"
"DIE_TO_WIRE_STAGING","Q26065359-8","N7-2","2ZPB16","焊线","10/7/2026 15:39:10"
"DIE_TO_WIRE_STAGING","Q26072101-2","N2-7","2ZPB07","焊线","10/7/2026 03:57:39"
"DIE_TO_WIRE_STAGING","Q26071321-3","N4-4","2ZPB72","焊线","10/7/2026 14:04:32"
"DIE_TO_WIRE_STAGING","Q26071168-28","N7-7","2ZPB49","焊线","10/7/2026 12:36:26"
"DIE_TO_WIRE_STAGING","Q26068579-3","N4-3","2ZPB71","焊线","10/7/2026 07:37:47"
"DIE_TO_WIRE_STAGING","Q26079202-1","N6-8","2ZPB69","焊线","10/7/2026 08:33:37"
"DIE_TO_WIRE_STAGING","Q26066489-12","N9-5","2ZPB103","焊线","10/7/2026 09:15:48"
"DIE_TO_WIRE_STAGING","Q26068562-1","N4-2","2ZPB70","焊线","9/7/2026 08:13:36"
"DIE_TO_WIRE_STAGING","Q26072554-1-1","N4-1","2ZPB67","焊线","10/7/2026 14:55:09"
"DIE_TO_WIRE_STAGING","Q26068462-5","N9-6","2ZPB101","焊线","10/7/2026 14:24:06"
"DIE_TO_WIRE_STAGING","Q26071743-3","N2-4","2ZPB04","焊线","10/7/2026 15:32:06"
"DIE_TO_WIRE_STAGING","Q26066688-3","N3-8","2ZPB109","焊线","10/7/2026 06:53:03"
"DIE_TO_WIRE_STAGING","Q26079063-2","N6-7","2ZPB68","焊线","10/7/2026 08:57:02"
"DIE_TO_WIRE_STAGING","Q26057269-5","N6-6","2ZPB60","焊线","9/7/2026 13:22:44"
"DIE_TO_WIRE_STAGING","Q26071395-2","N5-8","2ZPB83","焊线","10/7/2026 12:53:10"
"DIE_TO_WIRE_STAGING","Q26061299-3","N6-6","2ZPB60","焊线","10/7/2026 07:13:23"
"DIE_TO_WIRE_STAGING","Q26061301-4","N2-9","2ZPB09","焊线","10/7/2026 07:45:40"
"DIE_TO_WIRE_STAGING","Q26061301-3","N8-1","2ZPB108","焊线","10/7/2026 12:29:01"
"DIE_TO_WIRE_STAGING","Q26071906-5","N8-8","2ZPB51","焊线","10/7/2026 12:31:02"
"DIE_TO_WIRE_STAGING","Q26066489-16","N9-5","2ZPB103","焊线","10/7/2026 13:59:39"
"DIE_TO_WIRE_STAGING","Q26072118-3","N1-7","2ZPB11","焊线","10/7/2026 12:32:13"
"DIE_TO_WIRE_STAGING","Q26066688-4","N3-8","2ZPB109","焊线","10/7/2026 12:26:14"
"DIE_TO_WIRE_STAGING","Q26079203-1","N6-8","2ZPB69","焊线","10/7/2026 13:48:26"
"DIE_TO_WIRE_STAGING","Q26071319-5","N4-6","2ZPB74","焊线","10/7/2026 13:48:34"
"DIE_TO_WIRE_STAGING","Q26066489-15","N9-5","2ZPB103","焊线","10/7/2026 12:54:04"
"DIE_TO_WIRE_STAGING","Q26071450-2","N3-1","2ZPB63","焊线","10/7/2026 14:06:04"
"DIE_TO_WIRE_STAGING","Q26072079-5","N7-6","2ZPB25","焊线","10/7/2026 14:26:23"
"DIE_TO_WIRE_STAGING","Q26071564-7","N5-3","2ZPB78","焊线","10/7/2026 14:22:00"
"DIE_TO_WIRE_STAGING","Q26061298-5","N3-2","2ZPB64","焊线","10/7/2026 14:29:11"
"DIE_TO_WIRE_STAGING","Q26061777-3","N6-4","2ZPB95","焊线","10/7/2026 14:38:02"
"DIE_TO_WIRE_STAGING","Q26061301-5","N2-9","2ZPB09","焊线","10/7/2026 14:41:17"
"DIE_TO_WIRE_STAGING","Q26071168-27","N7-7","2ZPB49","焊线","10/7/2026 10:19:15"
"DIE_TO_WIRE_STAGING","Q26071149-3","N9-4","2ZPB102","焊线","10/7/2026 14:05:50"
"DIE_TO_WIRE_STAGING","Q26071318-1","N4-5","2ZPB73","焊线","10/7/2026 14:11:59"
"DIE_TO_WIRE_STAGING","Q26067678-5","N9-3","2ZPB105","焊线","10/7/2026 10:47:04"
"DIE_TO_WIRE_STAGING","Q26067016-4","N5-7","2ZPB84","焊线","10/7/2026 15:53:15"
"DIE_TO_WIRE_STAGING","Q26071322-1","N5-5","2ZPB75","焊线","10/7/2026 14:51:48"
"DIE_TO_WIRE_STAGING","Q26072100-2","N1-5","2ZPB19","焊线","10/7/2026 15:02:41"
"DIE_TO_WIRE_STAGING","Q26071906-6","N8-8","2ZPB51","焊线","10/7/2026 14:48:11"
"DIE_TO_WIRE_STAGING","Q26061300-2","N1-8","2ZPB20","焊线","10/7/2026 14:48:49"
"DIE_TO_WIRE_STAGING","Q26067015-5","N5-6","2ZPB85","焊线","10/7/2026 15:09:55"
"DIE_TO_WIRE_STAGING","Q26066489-17","N9-5","2ZPB103","焊线","10/7/2026 15:14:05"
"DIE_TO_WIRE_STAGING","Q26061299-4","N6-6","2ZPB60","焊线","10/7/2026 15:18:34"
"DIE_TO_WIRE_STAGING","Q26067635-3","N5-4","2ZPB77","焊线","10/7/2026 14:57:20"
"DIE_TO_WIRE_STAGING","Q26071321-4","N4-4","2ZPB72","焊线","10/7/2026 15:16:15"
"DIE_TO_WIRE_STAGING","Q26071318-2","N4-5","2ZPB73","焊线","10/7/2026 15:25:24"
"DIE_TO_WIRE_STAGING","Q26071575-1","N3-6","2ZPB111","焊线","10/7/2026 15:16:05"
"DIE_TO_WIRE_STAGING","Q26071413-4","N4-1","2ZPB67","焊线","9/7/2026 18:36:05"
"DIE_TO_WIRE_STAGING","Q26049968-1","N8-7","2ZPB32","焊线","26/4/2026 18:50:45"
"DIE_TO_WIRE_STAGING","Q26068579-6","N4-3","2ZPB71","焊线","10/7/2026 13:42:11"
"DIE_TO_OVEN","Q26045988-2","C5-18","3ZPS149","装片烘烤","10/7/2026 13:27:04"
"DIE_TO_OVEN","Q26067608-16","C7-04","3ZPS339","装片烘烤","10/7/2026 13:30:22"
"DIE_TO_OVEN","Q26066509-2","D3-04","3ZPS168","装片烘烤","10/7/2026 13:58:47"
"DIE_TO_OVEN","Q26062227-7","C7-12","3ZPS35","装片烘烤","10/7/2026 13:47:31"
"DIE_TO_OVEN","Q26071606-19","C2-17","3ZPS64","装片烘烤","10/7/2026 15:55:30"
"DIE_TO_OVEN","Q26071519-5","D4-06","3ZPS215","装片烘烤","10/7/2026 14:09:44"
"DIE_TO_OVEN","Q26064699-9","C2-16","3ZPS114","装片烘烤","10/7/2026 15:42:44"
"DIE_TO_OVEN","Q26079801-1","C8-03","3ZPS18","装片烘烤","10/7/2026 14:49:25"
"DIE_TO_OVEN","Q26071163-2","D8-04","3ZPS238","装片烘烤","10/7/2026 14:44:30"
"DIE_TO_OVEN","Q26071353-2","N11-7","3ZPS233","装片烘烤","10/7/2026 14:16:29"
"DIE_TO_OVEN","Q26066236-3-6","D7-07","3ZPS234","装片烘烤","10/7/2026 15:41:29"
"DIE_TO_OVEN","Q26066580-4","D8-03","3ZPS237","装片烘烤","10/7/2026 15:54:04"
"DIE_TO_OVEN","Q26065554-2","D7-02","3ZPS228","装片烘烤","10/7/2026 15:58:01"
"DIE_TO_OVEN","Q26060061-34","D6-03","3ZPS166","装片烘烤","10/7/2026 12:56:14"
"DIE_TO_OVEN","Q26066581-1","D1-04","3ZPS153","装片烘烤","10/7/2026 15:08:26"
"DIE_TO_OVEN","Q26067374-11","D7-01","3ZPS227","装片烘烤","10/7/2026 14:30:31"
"DIE_TO_OVEN","Q26068405-18","D5-08","3ZPS179","装片烘烤","10/7/2026 14:28:48"
"DIE_TO_OVEN","Q26066311-31","C2-12","3ZPS122","装片烘烤","10/7/2026 15:47:28"
"DIE_TO_OVEN","Q26071004-2","D6-04","3ZPS207","装片烘烤","10/7/2026 14:17:46"
"DIE_TO_OVEN","Q26067882-4","D2-08","3ZPS271","装片烘烤","10/7/2026 14:14:20"
"DIE_TO_OVEN","Q26045988-3","C5-18","3ZPS149","装片烘烤","10/7/2026 14:40:16"
"DIE_TO_OVEN","Q26065860-8","C1-04","3ZPS40","装片烘烤","10/7/2026 14:35:29"
"DIE_TO_OVEN","Q26068821-1","D5-04","3ZPS181","装片烘烤","10/7/2026 15:47:49"
"DIE_TO_OVEN","Q26070016-23","D1-07","3ZPS270","装片烘烤","10/7/2026 15:25:09"
"DIE_TO_OVEN","Q26066509-1","D3-04","3ZPS168","装片烘烤","10/7/2026 13:38:33"
"DIE_TO_OVEN","Q26065860-6","C1-04","3ZPS40","装片烘烤","10/7/2026 12:58:37"
"DIE_TO_OVEN","Q26057517-19","D7-06","3ZPS232","装片烘烤","10/7/2026 12:58:28"
"DIE_TO_OVEN","Q26064391-7","C1-12","3ZPS133","装片烘烤","10/7/2026 15:38:45"
"DIE_TO_OVEN","Q26066986-36","C2-02","3ZPS82","装片烘烤","10/7/2026 15:45:46"
"DIE_TO_OVEN","Q26079147-1","C8-02","3ZPS184","装片烘烤","10/7/2026 15:06:19"
"DIE_TO_OVEN","Q26068290-9","N10-6","3ZPS187","装片烘烤","10/7/2026 15:12:08"
"DIE_TO_OVEN","Q26064194-27","C1-07","3ZPS139","装片烘烤","10/7/2026 15:27:21"
"DIE_TO_OVEN","Q26062453-9","C2-01","3ZPS115","装片烘烤","10/7/2026 15:38:43"
"DIE_TO_OVEN","Q26045987-17","C5-18","3ZPS149","装片烘烤","10/7/2026 11:47:26"
"DIE_TO_OVEN","Q26063666-1","C6-08","3ZPS95","装片烘烤","10/7/2026 15:46:25"
"DIE_TO_OVEN","Q26065860-7","C1-04","3ZPS40","装片烘烤","10/7/2026 14:18:38"
"DIE_TO_OVEN","Q26066881-4","C2-07","3ZPS127","装片烘烤","10/7/2026 14:56:18"
"DIE_TO_OVEN","Q26057801-1","D7-03","3ZPS229","装片烘烤","10/7/2026 14:57:35"
"DIE_TO_OVEN","Q26055377-4","D5-05","3ZPS176","装片烘烤","10/7/2026 15:29:44"
"DIE_TO_OVEN","Q26079153-1","C8-02","3ZPS184","装片烘烤","10/7/2026 15:33:27"
"DIE_TO_OVEN","Q26066754-15","N10-4","2ZPB91","装片烘烤","10/7/2026 15:34:18"
"DIE_TO_OVEN","Q26045988-1","C5-18","3ZPS149","装片烘烤","10/7/2026 12:47:41"
"DIE_TO_OVEN","Q26064538-1","D1-05","3ZPS154","装片烘烤","10/7/2026 15:50:48"
"DIE_TO_OVEN","Q26066126-1","C5-10","3ZPS143","装片烘烤","10/7/2026 15:51:15"
"DIE_TO_OVEN","Q26065850-33","C3-12","3ZPS131","装片烘烤","10/7/2026 15:51:26"
"DIE_TO_OVEN","Q26038938-9","D6-01","3ZPS191","装片烘烤","10/7/2026 13:13:24"
"DIE_TO_OVEN","Q26067449-8","D5-06","3ZPS183","装片烘烤","10/7/2026 13:24:05"
"DIE_TO_OVEN","Q26067887-11","D8-02","3ZPS236","装片烘烤","10/7/2026 15:48:14"
"DIE_TO_OVEN","Q26069E04-1","C8-01","3ZPS189","装片烘烤","10/7/2026 13:19:31"
"DIE_TO_OVEN","Q26066310-18","C2-11","3ZPS147","装片烘烤","10/7/2026 15:48:48"
"DIE_TO_OVEN","Q26066573-14","C7-06","3ZPS07","装片烘烤","10/7/2026 13:55:17"
"DIE_TO_OVEN","Q26064579-5","D6-02","3ZPS180","装片烘烤","10/7/2026 13:53:09"
"DIE_TO_OVEN","Q26065140-16","D4-05","3ZPS213","装片烘烤","10/7/2026 13:56:15"
"DIE_TO_OVEN","Q26065391-3","C4-15","3ZPS93","装片烘烤","10/7/2026 14:43:13"
"DIE_TO_OVEN","Q26071217-1","C1-03","3ZPS65","装片烘烤","10/7/2026 14:15:16"
"DIE_TO_OVEN","Q26071422-5","C3-04","3ZPS108","装片烘烤","10/7/2026 14:15:22"
"DIE_TO_OVEN","Q26066041-2","C7-08","3ZPS06","装片烘烤","10/7/2026 14:37:35"
"DIE_TO_OVEN","Q26071988-11","N13-5","3ZPS36","装片烘烤","10/7/2026 10:24:29"
"DIE_TO_OVEN","Q26068083-8","C5-07","3ZPS91","装片烘烤","10/7/2026 14:26:48"
"DIE_TO_OVEN","Q26065860-5","C1-04","3ZPS40","装片烘烤","10/7/2026 10:25:14"
"DIE_TO_OVEN","Q26071514-7","D7-08","3ZPS235","装片烘烤","10/7/2026 14:02:53"
"DIE_TO_OVEN","Q26067608-17","C7-04","3ZPS339","装片烘烤","10/7/2026 14:29:19"
"DIE_TO_OVEN","Q26065826-2","C3-09","3ZPS80","装片烘烤","10/7/2026 14:18:32"
"DIE_TO_OVEN","Q26071237-2","D5-07","3ZPS182","装片烘烤","10/7/2026 14:05:15"
"DIE_TO_OVEN","Q26060061-35","D6-03","3ZPS166","装片烘烤","10/7/2026 14:12:19"
"DIE_TO_OVEN","Q26063665-2","C6-08","3ZPS95","装片烘烤","10/7/2026 14:12:49"
"DIE_TO_OVEN","Q26043289-20","D2-01","3ZPS169","装片烘烤","10/7/2026 15:57:15"
"DIE_TO_OVEN","Q26071848-2","C7-16","3ZPS201","装片烘烤","10/7/2026 15:51:12"
"DIE_TO_OVEN","Q26064339-3","D2-05","3ZPS171","装片烘烤","10/7/2026 15:51:26"
"DIE_TO_OVEN","Q26064194-29","C1-07","3ZPS139","装片烘烤","10/7/2026 15:55:44"
"DIE_TO_OVEN","Q26066300-15","C2-15","3ZPS110","装片烘烤","10/7/2026 15:55:55"
"DIE_TO_OVEN","Q26068601-4","C3-05","3ZPS99","装片烘烤","10/7/2026 15:46:04"
"DIE_TO_OVEN","Q26066762-10","C5-06","3ZPS74","装片烘烤","10/7/2026 14:51:16"
