TASK_TYPE,SUBLOT,AREA,EQP,STEP,DATES
DIE_TO_WIRE_STAGING,Q26069Y01-1,N8-8,2ZPB51,焊线,2026-06-09 04:13:08
DIE_TO_WIRE_STAGING,Q26079201-1,N6-8,2ZPB69,焊线,2026-07-11 19:03:55
DIE_TO_WIRE_STAGING,Q26079206-1,N6-8,2ZPB69,焊线,2026-07-11 21:45:57
DIE_TO_WIRE_STAGING,Q26067023-3,N5-6,2ZPB85,焊线,2026-07-13 14:30:27
DIE_TO_WIRE_STAGING,Q26049968-1,N8-7,2ZPB32,焊线,2026-04-26 18:50:45
DIE_TO_WIRE_STAGING,Q26067023-2,N5-6,2ZPB85,焊线,2026-07-13 12:06:55
DIE_TO_WIRE_STAGING,Q26065364-8,N7-2,2ZPB16,焊线,2026-07-13 11:05:03
DIE_TO_WIRE_STAGING,Q26065364-9,N7-2,2ZPB16,焊线,2026-07-13 12:27:19
DIE_TO_WIRE_STAGING,Q26065364-10,N7-2,2ZPB16,焊线,2026-07-13 13:27:24
DIE_TO_WIRE_STAGING,Q26067022-2,N5-6,2ZPB85,焊线,2026-07-13 04:45:45
DIE_TO_WIRE_STAGING,Q26067022-4,N5-6,2ZPB85,焊线,2026-07-13 06:14:59
DIE_TO_WIRE_STAGING,Q26072084-6,N1-1,2ZPB50,焊线,2026-07-13 08:02:31
DIE_TO_WIRE_STAGING,Q26068464-4,N9-6,2ZPB101,焊线,2026-07-13 12:26:26
DIE_TO_WIRE_STAGING,Q26072297-6,N9-1,2ZPB76,焊线,2026-07-13 04:25:23
DIE_TO_WIRE_STAGING,Q26072103-11,N7-7,2ZPB49,焊线,2026-07-13 16:13:07
DIE_TO_WIRE_STAGING,Q26066493-3,N4-2,2ZPB70,焊线,2026-07-12 16:53:39
DIE_TO_WIRE_STAGING,Q26073005-1,N1-5,2ZPB19,焊线,2026-07-13 07:40:02
DIE_TO_WIRE_STAGING,Q26064820-3,N1-8,2ZPB20,焊线,2026-07-13 12:29:37
DIE_TO_WIRE_STAGING,Q26064820-4,N1-8,2ZPB20,焊线,2026-07-13 15:53:39
DIE_TO_WIRE_STAGING,Q26066789-1,N3-3,2ZPB92,焊线,2026-07-13 07:41:54
DIE_TO_WIRE_STAGING,Q26066493-2,N4-2,2ZPB70,焊线,2026-07-12 15:44:51
DIE_TO_WIRE_STAGING,Q26068702-3,N9-3,2ZPB105,焊线,2026-07-13 15:31:34
DIE_TO_WIRE_STAGING,Q26072103-9,N7-7,2ZPB49,焊线,2026-07-13 15:37:21
DIE_TO_WIRE_STAGING,Q26064820-2,N1-8,2ZPB20,焊线,2026-07-13 04:44:48
DIE_TO_WIRE_STAGING,Q26079237-1,N8-4,2ZPB28,焊线,2026-07-12 07:40:14
DIE_TO_WIRE_STAGING,Q26067636-5,N5-4,2ZPB77,焊线,2026-07-13 08:36:50
DIE_TO_WIRE_STAGING,Q26072297-7,N9-1,2ZPB76,焊线,2026-07-13 06:39:01
DIE_TO_WIRE_STAGING,Q26063140-1,N3-4,2ZPB93,焊线,2026-07-13 07:43:49
DIE_TO_WIRE_STAGING,Q26066493-1,N4-2,2ZPB70,焊线,2026-07-12 14:35:59
DIE_TO_WIRE_STAGING,Q26066493-10,N4-2,2ZPB70,焊线,2026-07-13 02:27:14
DIE_TO_WIRE_STAGING,Q26070041-1,N1-5,2ZPB19,焊线,2026-07-13 15:49:27
DIE_TO_WIRE_STAGING,Q26063640-4,N6-6,2ZPB60,焊线,2026-07-12 22:33:53
DIE_TO_WIRE_STAGING,Q26072297-8,N9-1,2ZPB76,焊线,2026-07-13 07:32:11
DIE_TO_WIRE_STAGING,Q26072104-2,N5-3,2ZPB78,焊线,2026-07-13 10:44:26
DIE_TO_WIRE_STAGING,Q26071618-3,N6-3,2ZPB96,焊线,2026-07-13 15:30:42
DIE_TO_WIRE_STAGING,Q26071751-3,N2-4,2ZPB04,焊线,2026-07-12 07:13:16
DIE_TO_WIRE_STAGING,Q26061779-6,N6-4,2ZPB95,焊线,2026-07-13 15:47:58
DIE_TO_WIRE_STAGING,Q26072102-1,N2-1,2ZPB01,焊线,2026-07-13 08:09:38
DIE_TO_WIRE_STAGING,Q26071530-2,N3-1,2ZPB63,焊线,2026-07-13 15:10:59
DIE_TO_WIRE_STAGING,Q26068571-3,N9-5,2ZPB103,焊线,2026-07-13 13:51:06
DIE_TO_WIRE_STAGING,Q26068571-4,N9-5,2ZPB103,焊线,2026-07-13 15:01:01
DIE_TO_WIRE_STAGING,Q26061298-2,N3-2,2ZPB64,焊线,2026-07-09 19:55:07
DIE_TO_WIRE_STAGING,Q26071529-1,N3-1,2ZPB63,焊线,2026-07-13 07:51:12
DIE_TO_WIRE_STAGING,Q26068728-6,N5-5,2ZPB75,焊线,2026-07-12 15:35:37
DIE_TO_WIRE_STAGING,Q26068728-7,N5-5,2ZPB75,焊线,2026-07-12 17:02:28
DIE_TO_WIRE_STAGING,Q26071401-1,N5-8,2ZPB83,焊线,2026-07-13 06:01:27
DIE_TO_WIRE_STAGING,Q26072295-2,N9-1,2ZPB76,焊线,2026-07-13 10:51:34
