round,started_at,finished_at,elapsed_seconds,row_count,success,slow_warning,error
1,2026-07-13 16:23:04,2026-07-13 16:23:07,2.96,641,Y,N,
2,2026-07-13 16:23:17,2026-07-13 16:23:20,2.88,642,Y,N,
3,2026-07-13 16:23:30,2026-07-13 16:23:33,3.48,640,Y,N,
4,2026-07-13 16:23:43,2026-07-13 16:23:46,2.73,640,Y,N,
5,2026-07-13 16:23:56,2026-07-13 16:23:58,2.64,641,Y,N,
6,2026-07-13 16:24:08,2026-07-13 16:24:11,2.72,641,Y,N,
7,2026-07-13 16:24:21,2026-07-13 16:24:24,2.87,640,Y,N,
8,2026-07-13 16:24:34,2026-07-13 16:24:37,2.97,641,Y,N,
9,2026-07-13 16:24:47,2026-07-13 16:24:51,4.37,641,Y,N,
10,2026-07-13 16:25:01,2026-07-13 16:25:05,3.68,641,Y,N,
