TASK_TYPE,SUBLOT,AREA,EQP,STEP,DATES,PACKAGE
DIE_TO_WIRE_STAGING,Q26069Y01-1,N8-8,2ZPB51,焊线,2026-06-09 04:13:08,TO-263-5L
DIE_TO_WIRE_STAGING,Q26073343-6,N7-5,2ZPB26,焊线,2026-07-16 12:48:33,TO-126
DIE_TO_WIRE_STAGING,Q26072773-2,N9-4,2ZPB102,焊线,2026-07-14 13:29:11,TO-263-7L(2R)
DIE_TO_WIRE_STAGING,Q26072103-22,N7-7,2ZPB49,焊线,2026-07-15 06:05:46,TO-220F-C
DIE_TO_WIRE_STAGING,Q26068676-2,N4-6,2ZPB74,焊线,2026-07-15 10:45:04,TO-247
DIE_TO_WIRE_STAGING,Q26068676-3,N4-6,2ZPB74,焊线,2026-07-15 12:17:55,TO-247
DIE_TO_WIRE_STAGING,Q26067852-3,N2-9,2ZPB09,焊线,2026-07-16 08:57:32,TO-252-2L(6R)
DIE_TO_WIRE_STAGING,Q26068670-6,N4-4,2ZPB72,焊线,2026-07-15 09:08:40,TO-247
DIE_TO_WIRE_STAGING,Q26072988-6,N3-2,2ZPB64,焊线,2026-07-15 05:17:17,TO-252-2L(6R)
DIE_TO_WIRE_STAGING,Q26064828-2,N3-2,2ZPB64,焊线,2026-07-16 12:40:00,TO-252-2L(6R)
DIE_TO_WIRE_STAGING,Q26072016-4,N9-1,2ZPB107,焊线,2026-07-16 09:51:43,TO-263-7L(2R)
DIE_TO_WIRE_STAGING,Q26068668-6,N4-6,2ZPB74,焊线,2026-07-16 03:53:11,TO-247
DIE_TO_WIRE_STAGING,Q26068670-3,N4-4,2ZPB72,焊线,2026-07-15 05:09:41,TO-247
DIE_TO_WIRE_STAGING,Q26068668-7,N4-6,2ZPB74,焊线,2026-07-16 05:17:36,TO-247
DIE_TO_WIRE_STAGING,Q26049968-1,N8-7,2ZPB32,焊线,2026-04-26 18:50:45,TO-263-5L
DIE_TO_WIRE_STAGING,Q26073021-3-2,N2-4,2ZPB04,焊线,2026-07-16 12:36:04,TO-252-2L(6R)
DIE_TO_WIRE_STAGING,Q26072418-1,N8-6,2ZPB31,焊线,2026-07-16 12:32:00,TO-263C-2L
DIE_TO_WIRE_STAGING,Q26068670-5,N4-4,2ZPB72,焊线,2026-07-15 07:29:14,TO-247
DIE_TO_WIRE_STAGING,Q26066792-4,N3-5,2ZPB94,焊线,2026-07-16 12:30:58,TOLL-8L(6R)
DIE_TO_WIRE_STAGING,Q26079818-1,N9-1,2ZPB76,焊线,2026-07-15 15:49:13,TO-247Plus-3L
DIE_TO_WIRE_STAGING,Q26068675-2,N4-4,2ZPB72,焊线,2026-07-16 05:19:42,TO-247
DIE_TO_WIRE_STAGING,Q26072420-2,N8-6,2ZPB31,焊线,2026-07-14 02:08:01,TO-263C-2L
DIE_TO_WIRE_STAGING,Q26068668-2,N4-6,2ZPB74,焊线,2026-07-16 00:04:12,TO-247
DIE_TO_WIRE_STAGING,Q26068180-1,N3-6,2ZPB111,焊线,2026-07-16 01:32:43,TO-252-2L(8R)
DIE_TO_WIRE_STAGING,Q26079819-1,N9-1,2ZPB76,焊线,2026-07-15 15:48:13,TO-247Plus-3L
DIE_TO_WIRE_STAGING,Q26079820-1,N9-1,2ZPB76,焊线,2026-07-15 15:47:14,TO-247Plus-3L
DIE_TO_WIRE_STAGING,Q26079821-1,N9-1,2ZPB76,焊线,2026-07-15 15:46:16,TO-247Plus-3L
DIE_TO_WIRE_STAGING,Q26079822-1,N9-1,2ZPB76,焊线,2026-07-15 15:44:46,TO-247Plus-3L
DIE_TO_WIRE_STAGING,Q26079331-1,N5-4,2ZPB77,焊线,2026-07-15 06:45:15,TO-247Plus-4L
DIE_TO_WIRE_STAGING,Q26068730-1,N5-5,2ZPB75,焊线,2026-07-15 11:10:09,TO-247
DIE_TO_WIRE_STAGING,Q26068675-1,N4-4,2ZPB72,焊线,2026-07-16 04:09:42,TO-247
DIE_TO_WIRE_STAGING,Q26063138-3,N3-4,2ZPB93,焊线,2026-07-16 07:28:07,TOLL-8L(6R)
DIE_TO_WIRE_STAGING,Q26068670-7,N4-4,2ZPB72,焊线,2026-07-15 10:27:07,TO-247
DIE_TO_WIRE_STAGING,Q26079329-1,N5-4,2ZPB77,焊线,2026-07-15 06:04:02,TO-247Plus-4L
DIE_TO_WIRE_STAGING,Q26079332-1,N5-4,2ZPB77,焊线,2026-07-15 06:17:51,TO-247Plus-4L
DIE_TO_WIRE_STAGING,Q26079330-1,N5-4,2ZPB77,焊线,2026-07-15 06:32:19,TO-247Plus-4L
DIE_TO_WIRE_STAGING,Q26079339-1,N5-4,2ZPB77,焊线,2026-07-15 07:35:26,TO-247Plus-4L
DIE_TO_WIRE_STAGING,Q26079309-1,N5-4,2ZPB77,焊线,2026-07-16 13:16:02,TO-247Plus-4L
DIE_TO_WIRE_STAGING,Q26072104-2,N5-3,2ZPB78,焊线,2026-07-13 10:44:26,TO-252-2L(6R)
DIE_TO_WIRE_STAGING,Q26066506-4,N4-5,2ZPB73,焊线,2026-07-15 10:23:43,TO-247
DIE_TO_WIRE_STAGING,Q26061779-6,N6-4,2ZPB95,焊线,2026-07-13 15:47:58,TOLL-8L(6R)
DIE_TO_WIRE_STAGING,Q26071508-1-2,N6-3,2ZPB96,焊线,2026-07-14 18:51:38,TO-252-2L(8R)
DIE_TO_WIRE_STAGING,Q26071530-2,N3-1,2ZPB63,焊线,2026-07-13 15:10:59,TO-264-3L
DIE_TO_WIRE_STAGING,Q26061778-5,N6-4,2ZPB95,焊线,2026-07-14 16:38:21,TOLL-8L(6R)
DIE_TO_WIRE_STAGING,Q26079333-1,N5-4,2ZPB77,焊线,2026-07-15 06:58:25,TO-247Plus-4L
DIE_TO_WIRE_STAGING,Q26071529-1,N3-1,2ZPB63,焊线,2026-07-13 07:51:12,TO-264-3L
DIE_TO_WIRE_STAGING,Q26072780-2,N9-4,2ZPB102,焊线,2026-07-16 10:17:05,TO-263-7L(2R)
DIE_TO_WIRE_STAGING,Q26079334-1,N5-4,2ZPB77,焊线,2026-07-15 07:10:35,TO-247Plus-4L
DIE_TO_WIRE_STAGING,Q26079338-1,N5-4,2ZPB77,焊线,2026-07-15 07:22:57,TO-247Plus-4L
DIE_TO_WIRE_STAGING,Q26079308-1,N5-4,2ZPB77,焊线,2026-07-15 22:11:03,TO-247Plus-4L
DIE_TO_WIRE_STAGING,Q26079315-1,N5-4,2ZPB77,焊线,2026-07-15 22:52:14,TO-247Plus-4L
DIE_TO_WIRE_STAGING,Q26079318-1,N5-4,2ZPB77,焊线,2026-07-16 06:23:55,TO-247Plus-4L
DIE_TO_WIRE_STAGING,Q26079314-1,N5-4,2ZPB77,焊线,2026-07-16 07:40:05,TO-247Plus-4L
DIE_TO_WIRE_STAGING,Q26066505-23,N4-6,2ZPB74,焊线,2026-07-15 05:06:58,TO-247
DIE_TO_WIRE_STAGING,Q26068670-8,N4-4,2ZPB72,焊线,2026-07-15 11:53:01,TO-247
DIE_TO_WIRE_STAGING,Q26079340-1,N5-4,2ZPB77,焊线,2026-07-15 07:47:55,TO-247Plus-4L
DIE_TO_WIRE_STAGING,Q26079341-1,N5-4,2ZPB77,焊线,2026-07-15 08:00:29,TO-247Plus-4L
DIE_TO_WIRE_STAGING,Q26079342-1,N5-4,2ZPB77,焊线,2026-07-15 08:15:21,TO-247Plus-4L
DIE_TO_WIRE_STAGING,Q26079327-1,N5-4,2ZPB77,焊线,2026-07-15 10:10:52,TO-247Plus-4L
DIE_TO_WIRE_STAGING,Q26079337-1,N5-4,2ZPB77,焊线,2026-07-15 10:57:56,TO-247Plus-4L
DIE_TO_WIRE_STAGING,Q26079312-1,N5-4,2ZPB77,焊线,2026-07-16 06:48:42,TO-247Plus-4L
DIE_TO_WIRE_STAGING,Q26079317-1,N5-4,2ZPB77,焊线,2026-07-16 07:12:10,TO-247Plus-4L
DIE_TO_WIRE_STAGING,Q26079311-1,N5-4,2ZPB77,焊线,2026-07-16 08:14:38,TO-247Plus-4L
DIE_TO_WIRE_STAGING,Q26079316-1,N5-4,2ZPB77,焊线,2026-07-16 12:30:00,TO-247Plus-4L
DIE_TO_WIRE_STAGING,Q26073022-1-2,N1-9,2ZPB10,焊线,2026-07-14 07:54:27,TO-252-2L(6R)
DIE_TO_WIRE_STAGING,Q26071148-5,N9-3,2ZPB105,焊线,2026-07-16 12:48:12,TO-263-7L(2R)
DIE_TO_WIRE_STAGING,Q26072980-5,N8-9,2ZPB52,焊线,2026-07-14 11:38:45,TO-220F-C
DIE_TO_WIRE_STAGING,Q26072296-3,N9-1,2ZPB76,焊线,2026-07-14 02:58:05,TO-247-4L
DIE_TO_WIRE_STAGING,Q26072431-1,N3-5,2ZPB94,焊线,2026-07-13 13:12:24,TOLL-11L(6R)
DIE_TO_WIRE_STAGING,Q26068731-2,N4-5,2ZPB73,焊线,2026-07-16 01:33:14,TO-247
DIE_TO_WIRE_STAGING,Q26068731-4,N4-5,2ZPB73,焊线,2026-07-16 03:55:30,TO-247
DIE_TO_WIRE_STAGING,Q26068731-5,N4-5,2ZPB73,焊线,2026-07-16 05:46:07,TO-247
DIE_TO_WIRE_STAGING,Q26068731-9,N4-5,2ZPB73,焊线,2026-07-16 12:33:07,TO-247
DIE_TO_WIRE_STAGING,Q26068271-1,N4-2,2ZPB70,焊线,2026-07-14 16:32:09,TO-247
DIE_TO_WIRE_STAGING,Q26066880-19,N4-5,2ZPB73,焊线,2026-07-14 17:41:41,TO-247
DIE_TO_WIRE_STAGING,Q26072298-3,N9-1,2ZPB76,焊线,2026-07-14 10:39:41,TO-247-4L
DIE_TO_WIRE_STAGING,Q26066505-24,N4-6,2ZPB74,焊线,2026-07-15 06:07:06,TO-247
DIE_TO_WIRE_STAGING,Q26066506-3,N4-5,2ZPB73,焊线,2026-07-15 09:13:56,TO-247
DIE_TO_WIRE_STAGING,Q26066880-14,N4-5,2ZPB73,焊线,2026-07-14 07:53:24,TO-247
DIE_TO_WIRE_STAGING,Q26066880-17,N4-5,2ZPB73,焊线,2026-07-14 13:25:17,TO-247
DIE_TO_WIRE_STAGING,Q26066880-18,N4-5,2ZPB73,焊线,2026-07-14 14:48:54,TO-247
DIE_TO_WIRE_STAGING,Q26066505-8,N4-6,2ZPB74,焊线,2026-07-14 08:23:38,TO-247
DIE_TO_WIRE_STAGING,Q26073022-2-1,N1-9,2ZPB10,焊线,2026-07-14 14:25:47,TO-252-2L(6R)
DIE_TO_WIRE_STAGING,Q26068722-3,N5-5,2ZPB75,焊线,2026-07-16 04:27:53,TO-247
DIE_TO_WIRE_STAGING,Q26068722-4,N5-5,2ZPB75,焊线,2026-07-16 06:08:31,TO-247
DIE_TO_WIRE_STAGING,Q26070034-3,N1-4,2ZPB21,焊线,2026-07-16 01:19:10,TO-252-2L(6R)
DIE_TO_WIRE_STAGING,Q26066505-7,N4-6,2ZPB74,焊线,2026-07-14 07:19:07,TO-247
DIE_TO_WIRE_STAGING,Q26066506-5,N4-5,2ZPB73,焊线,2026-07-15 12:51:10,TO-247
DIE_TO_WIRE_STAGING,Q26066880-6,N4-5,2ZPB73,焊线,2026-07-13 19:21:03,TO-247
DIE_TO_WIRE_STAGING,Q26066880-15,N4-5,2ZPB73,焊线,2026-07-14 09:31:24,TO-247
DIE_TO_WIRE_STAGING,Q26066880-16,N4-5,2ZPB73,焊线,2026-07-14 10:45:20,TO-247
DIE_TO_WIRE_STAGING,Q26067853-2,N6-6,2ZPB60,焊线,2026-07-16 12:54:47,TO-252-2L(6R)
DIE_TO_WIRE_STAGING,Q26066504-13,N4-6,2ZPB74,焊线,2026-07-13 16:07:25,TO-247
DIE_TO_WIRE_STAGING,Q26066505-9,N4-6,2ZPB74,焊线,2026-07-14 10:08:48,TO-247
DIE_TO_WIRE_STAGING,Q26066505-10,N4-6,2ZPB74,焊线,2026-07-14 11:57:20,TO-247
DIE_TO_WIRE_STAGING,Q26066505-11,N4-6,2ZPB74,焊线,2026-07-14 13:11:30,TO-247
DIE_TO_WIRE_STAGING,Q26066505-12,N4-6,2ZPB74,焊线,2026-07-14 14:28:00,TO-247
DIE_TO_WIRE_STAGING,Q26066505-13,N4-6,2ZPB74,焊线,2026-07-14 16:10:29,TO-247
DIE_TO_WIRE_STAGING,Q26068570-9,N9-5,2ZPB103,焊线,2026-07-16 02:56:34,TO-247-2L-A
DIE_TO_WIRE_STAGING,Q26068570-16,N9-5,2ZPB103,焊线,2026-07-16 13:00:22,TO-247-2L-A
DIE_TO_WIRE_STAGING,Q26066793-4,N3-3,2ZPB92,焊线,2026-07-16 12:52:37,TOLL-8L(6R)
DIE_TO_WIRE_STAGING,Q26068570-11,N9-5,2ZPB103,焊线,2026-07-16 05:24:17,TO-247-2L-A
DIE_TO_WIRE_STAGING,Q26068570-15,N9-5,2ZPB103,焊线,2026-07-16 10:43:49,TO-247-2L-A
DIE_TO_WIRE_STAGING,Q26071332-5,N8-7,2ZPB32,焊线,2026-07-16 13:09:07,TO-220-3L
DIE_TO_WIRE_STAGING,Q26071408-3,N5-1,2ZPB82,焊线,2026-07-14 18:22:49,TO-220-3L-C(T0.5mm)
DIE_TO_WIRE_STAGING,Q26067029-4,N5-6,2ZPB85,焊线,2026-07-15 21:30:50,TO-220-3L-C(T0.5mm)
DIE_TO_WIRE_STAGING,Q26073022-3-1,N1-9,2ZPB10,焊线,2026-07-15 04:24:32,TO-252-2L(6R)
DIE_TO_WIRE_STAGING,Q26068723-7,N5-5,2ZPB75,焊线,2026-07-15 05:26:00,TO-247
DIE_TO_WIRE_STAGING,Q26068271-5,N4-2,2ZPB70,焊线,2026-07-14 22:41:04,TO-247
DIE_TO_WIRE_STAGING,Q26079335-1,N5-4,2ZPB77,焊线,2026-07-14 23:54:42,TO-247Plus-4L
