PACKAGE,match_type,matched_pattern,max_boxes_per_basket,次数,TASK_TYPE分布,样例SUBLOT
PDFN5×6-8L(12R),exact,PDFN5×6-8L(12R),4,4,STAGING_TO_WIRE:3; WIRE_TO_GATE:1,Q26068284-2 | Q26068168-1 | Q26068282-1
TO-126,exact,TO-126,8,2,DIE_TO_WIRE_STAGING:1; STAGING_TO_WIRE:1,Q26073343-6 | Q26073335-17
TO-220-3L,exact,TO-220-3L,8,1,DIE_TO_WIRE_STAGING:1,Q26071332-5
TO-220-3L-C(T0.5mm),exact,TO-220-3L-C(T0.5mm),8,3,DIE_TO_WIRE_STAGING:2; WIRE_TO_GATE:1,Q26071408-3 | Q26067029-4 | Q26071403-1
TO-247,exact,TO-247,6,53,DIE_TO_WIRE_STAGING:43; WIRE_TO_GATE:1; WIRE_TO_OPTICAL:9,Q26068676-2 | Q26068676-3 | Q26068670-6
TO-247-2L-A,exact,TO-247-2L-A,6,9,DIE_TO_OVEN:2; DIE_TO_WIRE_STAGING:4; WIRE_TO_GATE:3,Q26068570-9 | Q26068570-16 | Q26068570-11
TO-247-4L,exact,TO-247-4L,6,2,DIE_TO_WIRE_STAGING:2,Q26072296-3 | Q26072298-3
TO-247Plus-4L,exact,TO-247Plus-4L,6,24,DIE_TO_WIRE_STAGING:24,Q26079331-1 | Q26079329-1 | Q26079332-1
TO-251,exact,TO-251,10,2,STAGING_TO_WIRE:2,Q26072107-1 | Q26073329-1
TO-252-2L(4R),exact,TO-252-2L(4R),5,1,STAGING_TO_WIRE:1,Q26071354-15
TO-252-2L(6R),exact,TO-252-2L(6R),4,12,DIE_TO_WIRE_STAGING:10; STAGING_TO_WIRE:2,Q26067852-3 | Q26072988-6 | Q26064828-2
TO-252-2L(8R),exact,TO-252-2L(8R),4,11,DIE_TO_OVEN:4; DIE_TO_WIRE_STAGING:2; STAGING_TO_WIRE:1; WIRE_TO_GATE:4,Q26068180-1 | Q26071508-1-2 | Q26071554-10
TO-263-5L,exact,TO-263-5L,8,4,DIE_TO_OVEN:2; DIE_TO_WIRE_STAGING:2,Q26069Y01-1 | Q26049968-1 | Q26071805-2
TO-263-7L(2R),exact,TO-263-7L(2R),6,12,DIE_TO_WIRE_STAGING:4; STAGING_TO_WIRE:1; WIRE_TO_OPTICAL:7,Q26072773-2 | Q26072016-4 | Q26072780-2
TO-263C-2L,exact,TO-263C-2L,8,2,DIE_TO_WIRE_STAGING:2,Q26072418-1 | Q26072420-2
TO-264-3L,exact,TO-264-3L,8,2,DIE_TO_WIRE_STAGING:2,Q26071530-2 | Q26071529-1
TO-92,exact,TO-92,12,1,WIRE_TO_GATE:1,Q26073354-6
TOLL-11L(6R),prefix,TOLL-,3,3,DIE_TO_WIRE_STAGING:1; STAGING_TO_WIRE:1; WIRE_TO_GATE:1,Q26072431-1 | Q26072463-3 | Q26072465-1
TOLL-8L(6R),prefix,TOLL-,3,6,DIE_TO_WIRE_STAGING:5; WIRE_TO_GATE:1,Q26066792-4 | Q26063138-3 | Q26061779-6
