PACKAGE,次数,TASK_TYPE分布,样例SUBLOT
CSOP10(300mil)(5R),2,DIE_TO_OVEN:1; STAGING_TO_WIRE:1,Q26067884-14 | Q26067890-7
DFNWB1*1-4L-J(P0.65T0.37),3,DIE_TO_OVEN:3,Q26047600-4 | Q26047601-1 | Q26047600-5
DFNWB1*1-4L-N(P0.65T0.37),1,DIE_TO_OVEN:1,Q26072568-7
DFNWB1*1.4-4L(P0.5T0.37),2,STAGING_TO_WIRE:2,Q26071874-4 | Q26071874-5
DFNWB1.2*1.6-04L-A(P0.60T0.55),3,DIE_TO_OVEN:1; STAGING_TO_WIRE:1; WIRE_TO_GATE:1,Q26071510-4 | Q26071511-10 | Q26071510-2
DFNWB1.4*1-8L-C(P0.35T0.37),4,WIRE_TO_GATE:4,Q26071306-14 | Q26071306-17 | Q26071306-16
DFNWB1.4*1-8L-NA(P0.35T0.37),2,DIE_TO_OVEN:2,Q26068664-6 | Q26068664-5
DFNWB1.41*1.05-8L-NA(P0.35T0.37),1,WIRE_TO_GATE:1,Q26051882-5
DFNWB1.45*1-6L-G(P0.50T0.55),4,STAGING_TO_WIRE:2; WIRE_TO_GATE:2,Q26071832-3 | Q26071832-5 | Q26071832-7
DFNWB1.5*1.5-08L-F(P0.40T0.45),2,DIE_TO_OVEN:1; STAGING_TO_WIRE:1,Q26064434-16 | Q26064434-3
DFNWB2*2-06L-AA(P0.65T0.75)(1 block),2,STAGING_TO_WIRE:2,Q26071703-32 | Q26071703-34
DFNWB2*2-06L-AB(P0.65T0.75)(1 block),11,DIE_TO_OVEN:1; STAGING_TO_WIRE:10,Q26072626-7 | Q26067754-10 | Q26067471-13
DFNWB2*2-06L-AG(P0.65T0.75)(1 block),3,DIE_TO_OVEN:3,Q26063837-9 | Q26071378-5 | Q26071378-6
DFNWB2*2-06L-I(P0.65T0.75),3,STAGING_TO_WIRE:1; WIRE_TO_GATE:2,Q26071008-16 | Q26071008-14 | Q26071008-26
DFNWB2*2-08L-L(P0.50T0.55)(1 block),4,STAGING_TO_WIRE:4,Q26065226-43 | Q26066987-13 | Q26065226-50
DFNWB2*2-10L(P0.40T0.75)(1 block),3,DIE_TO_OVEN:3,Q26066744-16 | Q26066744-17 | Q26066744-18
DFNWB2*2-8L-AK(P0.50T0.75)(1 block),5,DIE_TO_OVEN:2; STAGING_TO_WIRE:3,Q26068665-1 | Q26068665-2 | Q26068706-11-2
DFNWB2*2-8L-W(P0.50T0.75)(1 block),3,STAGING_TO_WIRE:3,Q26056409-13 | Q26066815-8 | Q26066815-11
DFNWB2*3-08L-P(P0.50T0.55),1,STAGING_TO_WIRE:1,Q26071278-24
DFNWB2*3-6L-SA(P0.50T0.75)(1 block),4,DIE_TO_OVEN:1; STAGING_TO_WIRE:3,Q26072238-20 | Q26072238-3 | Q26068711-8
DFNWB2*4-06L-NA(P0.50T0.75)(1 block),2,DIE_TO_OVEN:1; STAGING_TO_WIRE:1,Q26067998-1 | Q26068002-1
