CURRENT_USER,CURRENT_SCHEMA,SESSION_TIMEZONE,DATABASE_TIMEZONE,,,,,,,,,
FWMES,FWMES,+08:00,+08:00,,,,,,,,,
FWMES,V_FW_WIP_SUBLOT,18,LOT,VARCHAR2,VARCHAR2(40 BYTE),40,40,B,,,N,
FWMES,V_FW_WIP_SUBLOT,3,WORKORDER,VARCHAR2,VARCHAR2(45 BYTE),45,45,B,,,N,
FWMES,V_FW_WIP_SUBLOT,19,STEP,VARCHAR2,VARCHAR2(255 BYTE),255,255,B,,,Y,
FWMES,V_FW_WIP_SUBLOT,10,STATE,VARCHAR2,VARCHAR2(20 BYTE),20,20,B,,,N,
FWMES,V_FW_WIP_SUBLOT,20,TASK,VARCHAR2,VARCHAR2(20 BYTE),20,20,B,,,N,
FWMES,V_FW_WIP_SUBLOT,16,EQP,VARCHAR2,VARCHAR2(50 BYTE),50,50,B,,,Y,
FWMES,V_FW_WIP_SUBLOT,9,LASTTIME,DATE,DATE,7,0,,,,N,
FWMES,FW_WIP_TRANS,8,LOT,VARCHAR2,VARCHAR2(50 BYTE),50,50,B,,,Y,
FWMES,FW_WIP_TRANS,3,DATES,DATE,DATE,7,0,,,,Y,
FWMES,FW_WIP_TRANS,5,TASK,VARCHAR2,VARCHAR2(50 BYTE),50,50,B,,,N,
FWMES,FW_WIP_TRANS,16,EQP,VARCHAR2,VARCHAR2(50 BYTE),50,50,B,,,Y,'N/A'
FWMES,FW_EQPRES_EQPINFORMATION,4,EQPNO,VARCHAR2,VARCHAR2(30 BYTE),30,30,B,,,N,
FWMES,FW_EQPRES_EQPINFORMATION,25,AREA,VARCHAR2,VARCHAR2(30 BYTE),30,30,B,,,Y,
FWMES,FW_EQPRES_EQPINFORMATION,1,STEP,VARCHAR2,VARCHAR2(20 BYTE),20,20,B,,,N,
