PACKAGE,次数,TASK_TYPE分布,样例SUBLOT
CSOP10(300mil)(5R),6,STAGING_TO_WIRE:4; WIRE_TO_GATE:2,Q26068325-6 | Q26068325-10 | Q26068335-11
DFNWB1*1-4L-J(P0.65T0.37),1,STAGING_TO_WIRE:1,Q26056401-2
DFNWB1*1-4L-N(P0.65T0.37),1,DIE_TO_OVEN:1,Q26079442-1
DFNWB1*1.4-4L(P0.5T0.37),8,DIE_TO_OVEN:2; STAGING_TO_WIRE:4; WIRE_TO_GATE:2,Q26071889-5 | Q26071888-1 | Q26073889-6-1
DFNWB1.2*1.6-04L-A(P0.60T0.55),3,DIE_TO_OVEN:1; STAGING_TO_WIRE:1; WIRE_TO_GATE:1,Q26071516-11 | Q26071516-8 | Q26071516-9
DFNWB1.4*1-8L-C(P0.35T0.37),3,STAGING_TO_WIRE:2; WIRE_TO_GATE:1,Q26071307-12 | Q26070029-1 | Q26071307-19
DFNWB1.45*1-6L-G(P0.50T0.55),4,STAGING_TO_WIRE:2; WIRE_TO_OPTICAL:2,Q26072621-24 | Q26072621-25 | Q26072621-34
DFNWB2*2-06L-AB(P0.65T0.75)(1 block),3,STAGING_TO_WIRE:3,Q26073204-8 | Q26056376-4 | Q26056363-7
DFNWB2*2-06L-AG(P0.65T0.75)(1 block),1,STAGING_TO_WIRE:1,Q26071376-19
DFNWB2*2-06L-J(P0.65T0.75)(1 block),3,DIE_TO_OVEN:2; STAGING_TO_WIRE:1,Q26068275-15 | Q26068275-14 | Q26068275-10
DFNWB2*2-08L-L(P0.50T0.55)(1 block),10,STAGING_TO_WIRE:10,Q26062348-24 | Q26067491-13 | Q26067491-14
DFNWB2*2-6L-SB(P0.65T0.55)(1 block),2,DIE_TO_OVEN:1; WIRE_TO_NITROGEN:1,Q26073284-26 | Q26073284-2
DFNWB2*2-8L-AK(P0.50T0.75)(1 block),3,STAGING_TO_WIRE:2; WIRE_TO_NITROGEN:1,Q26073203-8 | Q26068665-41 | Q26068665-37
DFNWB2*2-8L-W(P0.50T0.75)(1 block),5,DIE_TO_OVEN:1; STAGING_TO_WIRE:4,Q26066747-10 | Q26056345-6 | Q26066748-2
DFNWB2*3-08L-P(P0.50T0.55),2,DIE_TO_OVEN:1; STAGING_TO_WIRE:1,Q26071279-44 | Q26071279-4
DFNWB2*3-6L-SA(P0.50T0.75)(1 block),7,STAGING_TO_WIRE:5; WIRE_TO_NITROGEN:2,Q26074640-12 | Q26066365-15 | Q26066365-17
DFNWB2*3-8L-ND(P0.50T0.75)(1 block),1,STAGING_TO_WIRE:1,Q26072599-24
DFNWB2*4-06L-NA(P0.50T0.75)(1 block),1,DIE_TO_OVEN:1,Q26067953-1
DFNWB2.2*2.9-6L-NA(P0.50T0.55)(2 block),4,STAGING_TO_WIRE:2; WIRE_TO_GATE:2,Q26061851-3 | Q26061851-2 | Q26061851-15
DFNWB2.5*1-10L-H(P0.50T0.50),18,DIE_TO_OVEN:8; STAGING_TO_WIRE:7; WIRE_TO_GATE:3,Q26067403-10 | Q26067402-23 | Q26067402-22
DFNWB3*2-14L-C(P0.40T0.75)(1 block),12,DIE_TO_OVEN:1; STAGING_TO_WIRE:7; WIRE_TO_NITROGEN:4,Q26075033-21 | Q26073136-7 | Q26075033-5
DFNWB3*3-08L(P0.65T0.75)(1 block),1,STAGING_TO_WIRE:1,Q26071490-16
DFNWB3*3-08L-F(P0.65T0.75)(1 block),1,STAGING_TO_WIRE:1,Q26067607-1
DFNWB3*3-08L-M(P0.65T0.75)(1 block),1,STAGING_TO_WIRE:1,Q26067336-1
DFNWB3*3-08L-ND(P0.65T0.75)(1 block),2,STAGING_TO_WIRE:2,Q26066923-10 | Q26066923-11
DFNWB3*3-10L(P0.50T0.75)(1 block),2,STAGING_TO_WIRE:2,Q26068537-60 | Q26068537-62
DFNWB3*3-10L-B(P0.50T0.75)(1 block),10,DIE_TO_OVEN:1; STAGING_TO_WIRE:9,Q26074645-14-1 | Q26071375-14 | Q26071375-15
DFNWB3*3-10L-P(P0.50T0.75)(1 block),2,DIE_TO_OVEN:1; STAGING_TO_WIRE:1,Q26073496-7 | Q26065344-8
DFNWB3*3-12L(P0.45T0.75)(1 block),4,DIE_TO_OVEN:4,Q26056941-6 | Q26056941-4 | Q26056941-7
DFNWB3*3-8L-NF(P0.65T0.85)(1 block)(wettable),5,DIE_TO_OVEN:1; STAGING_TO_WIRE:4,Q26067103-3 | Q26066740-23 | Q26066740-24
DFNWB4.5*3-14L-NB(P0.65T0.85)(1 block)(wettable),1,DIE_TO_OVEN:1,Q26074241-1
DIP12/PP(350mil)(6R),2,STAGING_TO_WIRE:1; WIRE_TO_GATE:1,Q26061294-23 | Q26061294-18
FTSOT-23-6L(12R),1,WIRE_TO_GATE:1,Q26068130-1
HTSSOP32/PP(240mil)(8R),3,WIRE_TO_OPTICAL:3,Q26065490-13 | Q26065490-14 | Q26065490-9
HTSSOP32/PP-A(240mil)(8R),3,DIE_TO_OVEN:2; WIRE_TO_GATE:1,Q26061811-22 | Q26061810-1 | Q26064026-7
MIP3+P,1,STAGING_TO_WIRE:1,Q26079283-1
MISWB1.1*1.1-09L(P0.40T0.55),2,STAGING_TO_WIRE:2,Q26066421-14 | Q26066421-15
MISWB1.8*2.6-16L(P0.4T0.55),1,WIRE_TO_GATE:1,Q26067826-22
MSOP10(8R),4,DIE_TO_OVEN:1; STAGING_TO_WIRE:1; WIRE_TO_GATE:1; WIRE_TO_OPTICAL:1,Q26067644-2 | Q26056256-4 | Q26066336-13
MSOP10/PP,1,WIRE_TO_OPTICAL:1,Q26065043-1
MSOP8(118mil)(14R),9,STAGING_TO_WIRE:4; WIRE_TO_GATE:5,Q26055571-14 | Q26042123-8 | Q26062454-1
MSOP8(8R),7,DIE_TO_OVEN:1; STAGING_TO_WIRE:3; WIRE_TO_GATE:3,Q26071193-1 | Q26067782-11 | Q26071188-8
MSOP8/PP,4,DIE_TO_OVEN:1; STAGING_TO_WIRE:3,Q26064846-1 | Q26068442-2 | Q26072545-14
NEPDFNWB3*3-8L-NA(P0.65T0.75),1,STAGING_TO_WIRE:1,Q26079446-1
PDFNWB3.3×3.3-8L(P0.65T0.75),5,DIE_TO_OVEN:3; STAGING_TO_WIRE:1; WIRE_TO_GATE:1,Q26072073-6 | Q26072073-7 | Q26072071-12
PDFNWB3.3×3.3-8L-B(P0.65T0.75),1,STAGING_TO_WIRE:1,Q26072648-1
PDFNWB5×6-8L(P1.27T0.95),11,STAGING_TO_WIRE:1; WIRE_TO_NITROGEN:4; WIRE_TO_OPTICAL:6,Q26066357-3 | Q26066352-3 | Q26066351-3
PDFNWB5×6-8L-A(P1.27T0.95),4,WIRE_TO_NITROGEN:4,Q26079098-1 | Q26079099-1 | Q26079097-1
QFNWB1.4*1.8-10L-B(P0.40T0.55),1,WIRE_TO_GATE:1,Q26072457-16
QFNWB1.5*1.5-08L-C(P0.50T0.55),1,STAGING_TO_WIRE:1,Q26073759-1
QFNWB1.6*1.6-14L-NA(P0.35T0.55),2,STAGING_TO_WIRE:1; WIRE_TO_GATE:1,Q26073653-9 | Q26073653-15
