PACKAGE,match_type,matched_pattern,max_boxes_per_basket,次数,TASK_TYPE分布,样例SUBLOT
PDFN5×6-8L(12R),exact,PDFN5×6-8L(12R),4,10,STAGING_TO_WIRE:1; WIRE_TO_GATE:1; WIRE_TO_NITROGEN:8,Q26071597-4 | Q26071599-7 | Q26071597-3
TO-220-2L-C,exact,TO-220-2L-C,8,1,DIE_TO_OVEN:1,Q26073971-5
TO-220-3L,exact,TO-220-3L,8,1,DIE_TO_WIRE_STAGING:1,Q26075248-2
TO-220-3L-C(T0.5mm),exact,TO-220-3L-C(T0.5mm),8,23,DIE_TO_WIRE_STAGING:12; STAGING_TO_WIRE:1; WIRE_TO_NITROGEN:10,Q26074684-3-1 | Q26074694-1-3 | Q26074694-2-1
TO-220F,exact,TO-220F,8,3,DIE_TO_WIRE_STAGING:3,Q26075249-4 | Q26075249-3 | Q26075249-2
TO-247,exact,TO-247,6,8,DIE_TO_WIRE_STAGING:8,Q26079544-1 | Q26073441-8 | Q26079477-1
TO-247-2L-A,exact,TO-247-2L-A,6,29,DIE_TO_OVEN:3; DIE_TO_WIRE_STAGING:24; WIRE_TO_GATE:2,Q26073888-12 | Q26073468-2 | Q26073457-7
TO-247-4L,exact,TO-247-4L,6,6,DIE_TO_WIRE_STAGING:6,Q26072304-4 | Q26073941-1 | Q26074396-3
TO-247B-3L,exact,TO-247B-3L,6,5,DIE_TO_WIRE_STAGING:5,Q26079374-1 | Q26079375-1 | Q26069E34-1
TO-247Plus-4L,exact,TO-247Plus-4L,6,16,DIE_TO_WIRE_STAGING:16,Q26079308-1 | Q26079315-1 | Q26079377-1
TO-252-2L(6R),exact,TO-252-2L(6R),4,16,DIE_TO_OVEN:3; STAGING_TO_WIRE:4; WIRE_TO_GATE:1; WIRE_TO_NITROGEN:8,Q26073883-7 | Q26073887-4 | Q26073885-8
TO-252-2L(8R),exact,TO-252-2L(8R),4,13,DIE_TO_OVEN:1; DIE_TO_WIRE_STAGING:3; STAGING_TO_WIRE:3; WIRE_TO_GATE:1; WIRE_TO_NITROGEN:5,Q26073893-5 | Q26073893-2 | Q26073893-4
TO-252-5L,exact,TO-252-5L,10,1,STAGING_TO_WIRE:1,Q26074651-2
TO-263-5L,exact,TO-263-5L,8,1,DIE_TO_WIRE_STAGING:1,Q26069Y01-1
TO-263-7L(2R),exact,TO-263-7L(2R),6,9,WIRE_TO_NITROGEN:5; WIRE_TO_OPTICAL:4,Q26072774-8 | Q26074621-1 | Q26072774-9
TO-263C-2L,exact,TO-263C-2L,8,1,DIE_TO_WIRE_STAGING:1,Q26079413-1
TO-264-3L,exact,TO-264-3L,8,6,DIE_TO_WIRE_STAGING:5; WIRE_TO_GATE:1,Q26079080-1 | Q26079079-1 | Q26079078-1
TO-92,exact,TO-92,12,4,DIE_TO_OVEN:2; STAGING_TO_WIRE:1; WIRE_TO_GATE:1,Q26067195-32 | Q26067195-36 | Q26073693-7
TOLL-11L(6R),prefix,TOLL-,3,1,DIE_TO_WIRE_STAGING:1,Q26073902-1
TOLL-8L(6R),prefix,TOLL-,3,24,DIE_TO_WIRE_STAGING:2; WIRE_TO_NITROGEN:20; WIRE_TO_OPTICAL:2,Q26065404-7 | Q26065403-2 | Q26071759-1
