SUBLOT,AREA,EQP,STEP,DATES,PACKAGE
Q26063224-8,C6-14,3ZPS136,装片烘烤,2026-07-24T13:55:34,SOP8/PP(150mil)(12R)
Q26074602-21,C4-04,3ZPS105,装片烘烤,2026-07-24T14:47:32,SOP8/PP(150mil)(12R)
Q26073664-4,D3-07,3ZPS243,装片烘烤,2026-07-24T14:42:24,SOP8(150mil)(12R)
Q26073668-5,D5-05,3ZPS176,装片烘烤,2026-07-24T14:27:50,SOP8(150mil)(12R)
Q26067403-10,C2-06,3ZPS126,装片烘烤,2026-07-24T14:27:59,DFNWB2.5*1-10L-H(P0.50T0.50)
Q26054939-3,D7-03,3ZPS229,装片烘烤,2026-07-24T14:25:50,TSSOP28/PP(173mil)(10R)
Q26071889-5,C2-02,3ZPS82,装片烘烤,2026-07-24T14:33:53,DFNWB1*1.4-4L(P0.5T0.37)
Q26071427-4,C6-03,3ZPS100,装片烘烤,2026-07-24T14:17:38,TSSOP14
Q26073213-2,C2-10,3ZPS116,装片烘烤,2026-07-24T12:31:17,SSOP14/PP(150mil)(8R)
Q26074761-11,D4-02,3ZPS210,装片烘烤,2026-07-24T14:34:47,QFNWB5*5-32L(P0.50T0.75)(1 block)
Q26068792-6,D1-03,3ZPS156,装片烘烤,2026-07-24T13:48:55,QFNWB3.5*3.5-20L-E(P0.50T0.75)(1 block)
Q26073861-10,C1-10,3ZPS174,装片烘烤,2026-07-24T13:11:00,SOP8(150mil)(12R)
Q26067644-2,C3-08,3ZPS81,装片烘烤,2026-07-24T14:38:29,MSOP10(8R)
Q26068177-13,C1-01,3ZPS62,装片烘烤,2026-07-24T14:55:11,SOP8(150mil)(12R)
Q26068143-7,D4-04,3ZPS212,装片烘烤,2026-07-24T11:48:42,SOP8(150mil)(12R)
Q26072641-2,C5-09,3ZPS94,装片烘烤,2026-07-24T13:12:32,SSOP10
Q26056941-6,D1-02,3ZPS157,装片烘烤,2026-07-24T14:45:11,DFNWB3*3-12L(P0.45T0.75)(1 block)
Q26073883-7,N11-2,3ZPS29,装片烘烤,2026-07-24T13:10:15,TO-252-2L(6R)
Q26073971-5,N12-6,3ZPS55,装片烘烤,2026-07-24T14:49:36,TO-220-2L-C
Q26073471-28,N12-3,3ZPS85,装片烘烤,2026-07-24T14:38:33,TO-247-2L-A
Q26072967-6,C5-07,3ZPS91,装片烘烤,2026-07-24T14:42:07,SOP8/PP(150mil)(12R)
Q26072564-23,C1-09,3ZPS63,装片烘烤,2026-07-24T14:44:18,SOP8/PP(150mil)(12R)
Q26064889-7,C1-12,3ZPS133,装片烘烤,2026-07-24T14:46:28,SOP8(150mil)(12R)
Q26073496-7,C7-16,3ZPS201,装片烘烤,2026-07-24T14:46:07,DFNWB3*3-10L-P(P0.50T0.75)(1 block)
Q26072641-1,C5-09,3ZPS94,装片烘烤,2026-07-24T12:55:14,SSOP10
Q26074582-7,C2-17,3ZPS64,装片烘烤,2026-07-24T12:06:27,SOP8(150mil)(12R)
Q26066423-7,C7-10,3ZPS102,装片烘烤,2026-07-24T12:05:58,SOP8(150mil)(12R)
Q26068275-15,C1-08,3ZPS140,装片烘烤,2026-07-24T14:56:45,DFNWB2*2-06L-J(P0.65T0.75)(1 block)
Q26072355-14,C5-12,3ZPS151,装片烘烤,2026-07-24T14:51:50,TSSOP14(173mil)(10R)
Q26071888-1,C7-17,3ZPS200,装片烘烤,2026-07-24T14:51:37,DFNWB1*1.4-4L(P0.5T0.37)
Q26079876-1,C8-03,3ZPS18,装片烘烤,2026-07-24T14:53:25,QFNWB3.5*3.5-14L(P0.50T0.85)(1 block)
Q26075033-21,C1-07,3ZPS139,装片烘烤,2026-07-24T14:53:26,DFNWB3*2-14L-C(P0.40T0.75)(1 block)
Q26067402-23,C2-11,3ZPS147,装片烘烤,2026-07-24T14:52:42,DFNWB2.5*1-10L-H(P0.50T0.50)
Q26071654-4-2,C3-03,3ZPS214,装片烘烤,2026-07-24T14:54:46,SOP8(150mil)(12R)
Q26066966-28,D2-01,3ZPS169,装片烘烤,2026-07-24T14:55:42,TSSOP16(173mil)(10R)
Q26067402-22,C2-11,3ZPS147,装片烘烤,2026-07-24T12:14:25,DFNWB2.5*1-10L-H(P0.50T0.50)
Q26067403-1,C3-07,3ZPS120,装片烘烤,2026-07-24T13:32:46,DFNWB2.5*1-10L-H(P0.50T0.50)
Q26073471-26,N12-3,3ZPS85,装片烘烤,2026-07-24T09:21:16,TO-247-2L-A
Q26056941-4,D1-02,3ZPS157,装片烘烤,2026-07-24T13:06:10,DFNWB3*3-12L(P0.45T0.75)(1 block)
Q26061811-22,D6-03,3ZPS166,装片烘烤,2026-07-24T12:36:53,HTSSOP32/PP-A(240mil)(8R)
Q26071654-4-1,C3-03,3ZPS214,装片烘烤,2026-07-24T13:15:03,SOP8(150mil)(12R)
Q26067403-9,C2-06,3ZPS126,装片烘烤,2026-07-24T13:18:57,DFNWB2.5*1-10L-H(P0.50T0.50)
Q26064846-1,D6-04,3ZPS207,装片烘烤,2026-07-24T13:19:07,MSOP8/PP
Q26067845-2,C6-07,3ZPS21,装片烘烤,2026-07-24T12:50:20,SSOP16/PP(150mil)(8R)(P0.5)
Q26071516-11,D4-06,3ZPS215,装片烘烤,2026-07-24T07:59:15,DFNWB1.2*1.6-04L-A(P0.60T0.55)
Q26073675-14,C2-18,3ZPS66,装片烘烤,2026-07-24T12:21:59,TSSOP8(8R)
Q26074749-7,C5-17,3ZPS49,装片烘烤,2026-07-24T10:53:31,SOP8/PP(150mil)(12R)
Q26067953-1,D1-05,3ZPS154,装片烘烤,2026-07-24T11:24:20,DFNWB2*4-06L-NA(P0.50T0.75)(1 block)
Q26079442-1,C8-01,3ZPS189,装片烘烤,2026-07-24T10:59:16,DFNWB1*1-4L-N(P0.65T0.37)
Q26073887-4,N11-9,2ZPB46,装片烘烤,2026-07-24T13:44:01,TO-252-2L(6R)
Q26079875-1,C8-03,3ZPS18,装片烘烤,2026-07-24T13:56:23,QFNWB3.5*3.5-14L(P0.50T0.85)(1 block)
Q26075290-15,N13-10,3ZPS09,装片烘烤,2026-07-24T13:34:37,TO-252-2L(8R)
Q26072073-6,N10-4,2ZPB91,装片烘烤,2026-07-24T13:48:56,PDFNWB3.3×3.3-8L(P0.65T0.75)
Q26067195-32,X1-17,1ZP040,装片烘烤,2026-07-24T12:50:44,TO-92
Q26066747-10,D1-01,3ZPS158,装片烘烤,2026-07-24T13:33:39,DFNWB2*2-8L-W(P0.50T0.75)(1 block)
Q26060037-1,C4-15,3ZPS93,装片烘烤,2026-07-24T13:50:42,TSOT-23-6L
Q26067402-31,C2-12,3ZPS122,装片烘烤,2026-07-24T13:57:56,DFNWB2.5*1-10L-H(P0.50T0.50)
Q26072631-62,C3-12,3ZPS131,装片烘烤,2026-07-24T14:01:56,QFNWB1.7*2-12L-C(P0.40T0.50)
Q26067402-33,C2-12,3ZPS122,装片烘烤,2026-07-24T14:10:17,DFNWB2.5*1-10L-H(P0.50T0.50)
Q26072645-3,C1-03,3ZPS65,装片烘烤,2026-07-24T14:33:08,SOP8(150mil)(12R)
