SUBLOT,AREA,STEP,EQP,DATES,PACKAGE
Q26055760-57,C12-06,焊线,3QHS4147,2026-07-24T06:09:36,SOP16(300mil)(5R)
Q26079222-1,S01-03,焊线,3QHS4081,2026-07-24T14:55:28,SOP16(300mil)(5R)
Q26066052-1,D03-15,焊线,3QHS760,2026-07-24T09:32:37,SOP8/PP(150mil)(12R)
Q26066920-1,D19-11,焊线,3QHS112,2026-07-24T08:49:44,SOP8(150mil)(12R)
Q26072242-12,D16-03,焊线,3QHS3051,2026-07-24T08:15:45,SSOP24(209MIL)
Q26074762-2,Q01-03,焊线,3QHS3961,2026-07-24T14:10:50,QFNWB5*5-32L(P0.50T0.75)(1 block)
Q26073136-7,Q02-13,焊线,3QHS4043,2026-07-24T12:30:08,DFNWB3*2-14L-C(P0.40T0.75)(1 block)
Q26074640-12,Q03-11,焊线,3QHS566,2026-07-24T13:12:51,DFNWB2*3-6L-SA(P0.50T0.75)(1 block)
Q26071376-19,Q01-22,焊线,3QHS3072,2026-07-24T12:15:46,DFNWB2*2-06L-AG(P0.65T0.75)(1 block)
Q26079043-1,S01-02,焊线,3QHS4171,2026-07-24T12:18:06,SOP8(150mil)(12R)
Q26048267-11,D22-10,焊线,3QHS4328,2026-07-24T09:45:58,TSSOP16(173mil)(10R)
Q26057755-8,Q10-02,焊线,3QHS2687,2026-07-24T09:40:31,QFNWB1.9*1.8-12L-NA(P0.40T0.55)
Q26072260-10,C13-08,焊线,3QHS4165,2026-07-24T12:46:45,TSOT-23-6L
Q26062348-24,Q08-01,焊线,3QHS3905,2026-07-24T14:10:47,DFNWB2*2-08L-L(P0.50T0.55)(1 block)
Q26068335-11,C01-01,焊线,3QHS3845,2026-07-24T13:44:25,CSOP10(300mil)(5R)
Q26072564-4,D03-09,焊线,3QHS3839,2026-07-24T09:32:48,SOP8/PP(150mil)(12R)
Q26073674-8,D19-13,焊线,3QHS504,2026-07-24T14:03:02,TSSOP8(8R)
Q26062454-4,C05-05,焊线,3QHS4315,2026-07-24T11:53:19,MSOP8(118mil)(14R)
Q26071817-5,D14-03,焊线,3QHS3065,2026-07-24T12:42:17,SOP8(150mil)(12R)
Q26067491-13,Q07-09,焊线,3QHS3865,2026-07-24T06:29:33,DFNWB2*2-08L-L(P0.50T0.55)(1 block)
Q26062454-6,C16-10,焊线,3QHS4271,2026-07-24T14:50:41,MSOP8(118mil)(14R)
Q26066966-4,C03-04,焊线,3QHS4197,2026-07-24T13:43:29,TSSOP16(173mil)(10R)
Q26067491-14,Q03-05,焊线,3QHS3892,2026-07-24T13:13:24,DFNWB2*2-08L-L(P0.50T0.55)(1 block)
Q26068537-60,Q09-10,焊线,3QHS397,2026-07-24T12:54:55,DFNWB3*3-10L(P0.50T0.75)(1 block)
Q26068537-62,D13-16,焊线,3QHS3082,2026-07-24T13:48:43,DFNWB3*3-10L(P0.50T0.75)(1 block)
Q26073204-8,Q07-01,焊线,3QHS3943,2026-07-24T10:59:27,DFNWB2*2-06L-AB(P0.65T0.75)(1 block)
Q26072934-3,D01-01,焊线,3QHS15,2026-07-24T11:54:58,SOP8/PP(150mil)(12R)
Q26062443-2,D19-10,焊线,3QHS101,2026-07-24T09:11:33,SSOP9(150mil)(8R)
Q26066740-23,C10-11,焊线,3QHS4128,2026-07-24T10:22:57,DFNWB3*3-8L-NF(P0.65T0.85)(1 block)(wettable)
Q26063201-6-1,C03-13,焊线,3QHS4290,2026-07-24T14:41:11,SOP8(300mil)(5R)
Q26068442-2,D09-06,焊线,3QHS763,2026-07-24T12:47:51,MSOP8/PP
Q26066423-1,C15-09,焊线,3QHS4242,2026-07-24T13:15:50,SOP8(150mil)(12R)
Q26072925-3,C09-14,焊线,3QHS4256,2026-07-24T11:54:24,SOP8/PP(150mil)(12R)
Q26067554-16,C01-09,焊线,3QHS3824,2026-07-24T10:26:09,SOP8/PP(150mil)(12R)
Q26072545-14,Q24-14,焊线,3QHS3790,2026-07-24T13:49:07,MSOP8/PP
Q26066607-3,D23-3,焊线,3QHS4337,2026-07-24T10:45:07,TSSOP14(173mil)(10R)
Q26066423-2,Q17-01,焊线,3QHS583,2026-07-24T13:40:04,SOP8(150mil)(12R)
Q26071279-4,Q04-07,焊线,3QHS3863,2026-07-24T13:13:02,DFNWB2*3-08L-P(P0.50T0.55)
Q26073928-2,D21-3,焊线,3QHS754,2026-07-23T19:29:06,SSOP10(150mil)(8R)
Q26066740-24,C17-02,焊线,3QHS4226,2026-07-24T13:46:12,DFNWB3*3-8L-NF(P0.65T0.85)(1 block)(wettable)
Q26061273-6,D10-10,焊线,3QHS2011,2026-07-24T07:18:48,TSSOP38
Q26072242-13,D06-03,焊线,3QHS765,2026-07-24T12:20:29,SSOP24(209MIL)
Q26065180-3,D04-06,焊线,3QHS2151,2026-07-24T09:06:09,TSOT-23-6L
Q26075246-2,N20-6,焊线,2QHB52,2026-07-24T13:05:22,PDFNWB5×6-8L(P1.27T0.95)
