SUBLOT,AREA,EQP,STEP,DATES,PACKAGE
Q26073052-9,C01-07,3QHS3836,焊线关卡,2026-07-24T14:12:21,SSOP24(150mil)
Q26055571-14,D22-7,3QHS4325,焊线关卡,2026-07-24T13:55:50,MSOP8(118mil)(14R)
Q26063769-3,D14-09,3QHS3086,焊线关卡,2026-07-24T09:29:09,SOP8(150mil)(12R)
Q26072242-2,Q15-10,3QHS3095,焊线关卡,2026-07-24T04:31:34,SSOP24(209MIL)
Q26073824-10,C06-04,3QHS581,焊线关卡,2026-07-24T14:42:21,SOP14(9R)
Q26064026-7,C08-10,3QHS4306,焊线关卡,2026-07-24T09:56:01,HTSSOP32/PP-A(240mil)(8R)
Q26066097-7,Q21-05,3QHS4060,焊线关卡,2026-07-23T00:42:21,SSOP16(150mil)(8R)
Q26068767-3,D11-05,3QHS545,焊线关卡,2026-07-24T14:05:18,SOP8(150mil)(12R)
Q26073653-9,Q06-12,3QHS4069,焊线关卡,2026-07-24T08:38:43,QFNWB1.6*1.6-14L-NA(P0.35T0.55)
Q26064705-54,C17-08,3QHS4217,焊线关卡,2026-07-22T22:41:02,SOP28(300mil)(5R)
Q26042123-8,C05-03,3QHS4313,焊线关卡,2026-07-24T11:03:17,MSOP8(118mil)(14R)
Q26065863-4,Q16-14,3QHS30,焊线关卡,2026-07-23T01:47:23,SOP8(150mil)(12R)
Q26061163-69,C13-06,3QHS4163,焊线关卡,2026-07-23T06:20:41,SOP16(300mil)(5R)
Q26072828-4,D04-03,3QHS3064,焊线关卡,2026-07-24T07:44:01,SOP8(150mil)(12R)
Q26066464-6,C08-05,3QHS4301,焊线关卡,2026-07-24T12:29:16,SOP14(9R)
Q26067401-5,D18-13,3QHS2013,焊线关卡,2026-07-24T13:31:25,DFNWB2.5*1-10L-H(P0.50T0.50)
Q26068298-5,Q19-03,3QHS751,焊线关卡,2026-07-24T07:32:12,SOP8/PP(150mil)(12R)
Q26073224-3,Q16-10,3QHS550,焊线关卡,2026-07-24T14:40:23,SOP8/PP(150mil)(12R)
Q26071597-4,N1-3,2QHE54,焊线关卡,2026-07-24T13:21:29,PDFN5×6-8L(12R)
Q26068469-13,D15-07,3QHS4028,焊线关卡,2026-07-24T14:32:31,SOP8(150mil)(12R)
Q26068767-4,Q21-01,3QHS29,焊线关卡,2026-07-24T14:35:19,SOP8(150mil)(12R)
Q26073693-7,X11-5-5,1QH108,焊线关卡,2026-07-24T14:44:20,TO-92
Q26064678-8,C12-02,3QHS4142,焊线关卡,2026-07-24T14:46:09,TSSOP28/PP(173mil)(10R)
Q26055162-6,D07-10,3QHS4019,焊线关卡,2026-07-24T14:46:48,TSSOP16
Q26071307-12,Q05-14,3QHS4061,焊线关卡,2026-07-24T06:21:41,DFNWB1.4*1-8L-C(P0.35T0.37)
Q26072281-4,N12-8,2QHB74,焊线关卡,2026-07-24T14:46:54,TO-247-2L-A
Q26056256-4,D05-16,3QHS2517,焊线关卡,2026-07-24T14:03:08,MSOP10(8R)
Q26072828-11,C02-07,3QHS3970,焊线关卡,2026-07-24T12:07:42,SOP8(150mil)(12R)
Q26073052-6,Q12-02,3QHS3846,焊线关卡,2026-07-24T13:16:56,SSOP24(150mil)
Q26073821-21,C06-07,3QHS17,焊线关卡,2026-07-24T12:08:14,SOP16(150mil)(12R)
Q26068325-6,C01-01,3QHS3845,焊线关卡,2026-07-24T06:45:55,CSOP10(300mil)(5R)
Q26068469-9,Q22-09,3QHS3023,焊线关卡,2026-07-24T06:54:49,SOP8(150mil)(12R)
Q26063769-7,Q16-07,3QHS3085,焊线关卡,2026-07-24T12:50:01,SOP8(150mil)(12R)
Q26073052-7,C07-04,3QHS3227,焊线关卡,2026-07-24T12:12:43,SSOP24(150mil)
Q26073889-6-1,Q04-21,3QHS3122,焊线关卡,2026-07-24T14:55:50,DFNWB1*1.4-4L(P0.5T0.37)
Q26065869-1,D09-12,3QHS3134,焊线关卡,2026-07-24T14:28:43,TSSOP14
Q26071913-6,Q01-17,3QHS4039,焊线关卡,2026-07-24T09:18:53,DFNWB1*1.4-4L(P0.5T0.37)
Q26064417-2,C15-08,3QHS4239,焊线关卡,2026-07-24T13:00:55,TSSOP28/PP
Q26066664-2,D18-02,3QHS111,焊线关卡,2026-07-24T10:36:35,SOP8(150mil)(12R)
Q26071783-25,D10-07,3QHS3986,焊线关卡,2026-07-24T12:48:49,SOP8(150mil)(12R)
Q26061294-23,C05-02,3QHS4312,焊线关卡,2026-07-24T13:04:41,DIP12/PP(350mil)(6R)
Q26031361-9,D22-11,3QHS4329,焊线关卡,2026-07-24T12:53:55,TSSOP16/PP(173mil)(10R)
Q26071246-2,C07-13,3QHS4293,焊线关卡,2026-07-24T12:23:23,TSSOP16(173mil)(10R)
Q26065890-6,C13-05,3QHS4161,焊线关卡,2026-07-24T12:18:01,SOP8(150mil)(12R)
Q26073824-12,Q12-08,3QHS3806,焊线关卡,2026-07-24T11:17:33,SOP14(9R)
Q26067782-11,C08-14,3QHS4310,焊线关卡,2026-07-24T11:19:46,MSOP8(8R)
Q26062454-1,C07-12,3QHS4294,焊线关卡,2026-07-24T10:46:30,MSOP8(118mil)(14R)
Q26062454-3,C05-08,3QHS4318,焊线关卡,2026-07-24T10:42:12,MSOP8(118mil)(14R)
Q26066664-1,D19-06,3QHS122,焊线关卡,2026-07-24T13:43:59,SOP8(150mil)(12R)
Q26071372-15,C16-07,3QHS4284,焊线关卡,2026-07-24T13:57:09,SOP8(150mil)(12R)
Q26072687-6,D06-15,3QHS3795,焊线关卡,2026-07-24T13:52:43,SOP8(150mil)(12R)
Q26068130-1,D04-12,3QHS1772,焊线关卡,2026-07-24T12:50:50,FTSOT-23-6L(12R)
Q26073522-3,N8-4,3QHS3016,焊线关卡,2026-07-24T13:51:21,SOP8(8R)
Q26071516-8,Q15-08,3QHS3075,焊线关卡,2026-07-24T12:46:42,DFNWB1.2*1.6-04L-A(P0.60T0.55)
Q26072784-14,D04-03,3QHS3064,焊线关卡,2026-07-23T03:04:24,SOP8(150mil)(12R)
Q26067826-22,Q09-15,3QHS3029,焊线关卡,2026-07-24T11:28:19,MISWB1.8*2.6-16L(P0.4T0.55)
Q26073471-21,N18-5,2QHB78,焊线关卡,2026-07-24T14:56:28,TO-247-2L-A
Q26067868-2,Q13-04,3QHS213,焊线关卡,2026-07-24T14:33:21,SOP8(150mil)(12R)
Q26067398-38,D20-08,3QHS551,焊线关卡,2026-07-24T14:33:43,DFNWB2.5*1-10L-H(P0.50T0.50)
Q26071246-1,C13-14,3QHS4158,焊线关卡,2026-07-24T13:51:12,TSSOP16(173mil)(10R)
Q26063148-4,D07-16,3QHS3052,焊线关卡,2026-07-24T14:23:16,TSSOP28
Q26064841-1,C04-10,3QHS4264,焊线关卡,2026-07-24T14:36:28,MSOP8(118mil)(14R)
Q26063148-5,D12-11,3QHS4005,焊线关卡,2026-07-24T13:43:08,TSSOP28
Q26067930-45,C14-08,3QHS4181,焊线关卡,2026-07-24T13:58:35,SOP28(300mil)(5R)
Q26070023-1,N17-8,2QHB83,焊线关卡,2026-07-24T14:12:41,TO-264-3L
Q26068325-10,Q24-01,3QHS3928,焊线关卡,2026-07-24T14:14:26,CSOP10(300mil)(5R)
Q26072476-3,D15-08,3QHS4027,焊线关卡,2026-07-24T14:48:54,SOP8(8R)
Q26055162-8,Q14-08,3QHS3031,焊线关卡,2026-07-24T14:42:29,TSSOP16
Q26071921-3,N1-10,2QHE59,焊线关卡,2026-07-24T14:52:48,TO-252-2L(8R)
Q26066245-3,C14-11,3QHS4129,焊线关卡,2026-07-24T14:52:49,TSSOP24(173mil)(10R)
Q26067398-39,D20-06,3QHS503,焊线关卡,2026-07-24T13:48:00,DFNWB2.5*1-10L-H(P0.50T0.50)
Q26061851-3,C13-13,3QHS4170,焊线关卡,2026-07-24T08:24:58,DFNWB2.2*2.9-6L-NA(P0.50T0.55)(2 block)
Q26071188-8,D13-03,3QHS3135,焊线关卡,2026-07-24T14:31:04,MSOP8(8R)
Q26064154-14,C13-12,3QHS4169,焊线关卡,2026-07-24T01:18:05,SOP8(150mil)(12R)
Q26072457-16,Q04-17,3QHS4056,焊线关卡,2026-07-24T13:23:20,QFNWB1.4*1.8-10L-B(P0.40T0.55)
Q26068689-9,D21-7,3QHS4341,焊线关卡,2026-07-24T13:23:29,SOP8(150mil)(12R)
Q26071851-7,Q15-07,3QHS324,焊线关卡,2026-07-24T13:23:30,SOP8(208mil)(6R)
Q26061851-2,C16-11,3QHS4268,焊线关卡,2026-07-24T10:09:24,DFNWB2.2*2.9-6L-NA(P0.50T0.55)(2 block)
Q26067561-13,N1-11,2QHE65,焊线关卡,2026-07-24T13:59:19,SOP8(150mil)(12R)
Q26067345-5,N6-11,2QHE47,焊线关卡,2026-07-24T14:00:59,PDFNWB3.3×3.3-8L(P0.65T0.75)
Q26067782-10,C09-06,3QHS4095,焊线关卡,2026-07-24T10:56:40,MSOP8(8R)
Q26068689-2,D21-15,3QHS3780,焊线关卡,2026-07-22T22:01:58,SOP8(150mil)(12R)
Q26071059-15,D01-08,3QHS3209,焊线关卡,2026-07-22T22:37:43,SSOP24(150mil)
Q26067871-3,N6-5,3QHS3757,焊线关卡,2026-07-24T14:33:14,TO-252-2L(6R)
