SUBLOT,AREA,EQP,STEP,DATES,PACKAGE
Q26071538-5,Q16-15,3QHS3013,焊线2,2026-07-21T08:56:50,SOP8(150mil)(12R)
Q26066327-2,N12-2,2QHB111,焊线2,2026-07-24T11:33:46,TOLLB-8L(6R)
Q26065408-2,N13-3,2QHB116,焊线2,2026-07-24T04:56:34,TOLL-8L(6R)
Q26074514-27,Q04-16,3QHS4055,焊线2,2026-07-24T14:25:38,DFNWB3*2-14L-C(P0.40T0.75)(1 block)
Q26073674-9,D17-10,3QHS3737,焊线2,2026-07-23T17:33:20,TSSOP8(8R)
Q26067870-4,N19-7,2QHB96,焊线2,2026-07-24T04:51:13,TO-252-2L(6R)
Q26074514-30,Q04-22,3QHS3090,焊线2,2026-07-24T03:38:00,DFNWB3*2-14L-C(P0.40T0.75)(1 block)
Q26068665-37,Q06-16,3QHS4073,焊线2,2026-07-24T14:36:54,DFNWB2*2-8L-AK(P0.50T0.75)(1 block)
Q26065400-1,N12-4,2QHB106,焊线2,2026-07-24T14:43:56,TOLL-8L(6R)
Q26065397-7,N14-6,2QHB123,焊线2,2026-07-24T10:41:13,TOLL-8L(6R)
Q26066667-5,Q12-12,3QHS3079,焊线2,2026-07-23T12:36:06,SOP8(150mil)(12R)
Q26072774-13,N15-2,2QHB114,焊线2,2026-07-23T04:19:32,TO-263-7L(2R)
Q26071597-3,N14-4,2QHB125,焊线2,2026-07-24T11:46:31,PDFN5×6-8L(12R)
Q26074514-24,Q05-19,3QHS3123,焊线2,2026-07-24T14:38:31,DFNWB3*2-14L-C(P0.40T0.75)(1 block)
Q26074652-17,Q11-12,3QHS316,焊线2,2026-07-24T14:24:41,DFNWB2*3-6L-SA(P0.50T0.75)(1 block)
Q26064888-7,Q12-12,3QHS3079,焊线2,2026-07-24T08:50:36,SOP8(150mil)(12R)
Q26067873-3,N17-7,2QHB81,焊线2,2026-07-24T01:23:04,TO-252-2L(6R)
Q26079098-1,N19-6,2QHB67,焊线2,2026-07-22T13:17:58,PDFNWB5×6-8L-A(P1.27T0.95)
Q26067485-8,C05-11,3QHS4190,焊线2,2026-07-24T01:01:42,SSOP14/PP(150mil)(8R)
Q26065398-6,N17-4,2QHB68,焊线2,2026-07-23T21:27:25,TOLL-8L(6R)
Q26072624-5,N3-12,3QHS6021,焊线2,2026-07-21T01:30:31,PDFNWB5×6-8L(P1.27T0.95)
Q26079099-1,N19-6,2QHB67,焊线2,2026-07-22T14:23:41,PDFNWB5×6-8L-A(P1.27T0.95)
Q26065397-4,N12-4,2QHB106,焊线2,2026-07-24T03:27:16,TOLL-8L(6R)
Q26072774-14,N19-5,2QHB57,焊线2,2026-07-23T12:28:27,TO-263-7L(2R)
Q26079097-1,N19-6,2QHB67,焊线2,2026-07-22T15:05:47,PDFNWB5×6-8L-A(P1.27T0.95)
Q26065408-7,N14-6,2QHB123,焊线2,2026-07-24T03:14:54,TOLL-8L(6R)
Q26071597-2,N14-3,2QHB113,焊线2,2026-07-24T10:17:30,PDFN5×6-8L(12R)
Q26067561-7,N8-3,3QHS3017,焊线2,2026-07-23T05:41:57,SOP8(150mil)(12R)
Q26074686-1-3,N19-2,2QHB10,焊线2,2026-07-24T10:11:43,TO-220-3L-C(T0.5mm)
Q26072774-11,N15-2,2QHB114,焊线2,2026-07-22T20:29:36,TO-263-7L(2R)
Q26073515-4,N14-7,2QHB120,焊线2,2026-07-24T09:48:06,TO-252-2L(8R)
Q26073531-3,N17-3,2QHB69,焊线2,2026-07-24T09:49:26,PDFN5×6-8L(12R)
Q26071960-2,N19-6,2QHB67,焊线2,2026-07-24T05:02:05,PDFNWB5×6-8L-A(P1.27T0.95)
Q26074663-3-1,N20-3,2QHB01,焊线2,2026-07-24T09:12:30,TO-220-3L-C(T0.5mm)
Q26066328-2,N19-8,2QHB95,焊线2,2026-07-24T07:27:43,TOLLB-8L(6R)
Q26073515-3,N14-9,2QHB122,焊线2,2026-07-24T07:27:57,TO-252-2L(8R)
Q26065400-2,N12-6,2QHB108,焊线2,2026-07-23T09:52:21,TOLL-8L(6R)
Q26065397-5,N12-3,2QHB110,焊线2,2026-07-24T06:47:44,TOLL-8L(6R)
Q26074663-2-2,N20-3,2QHB01,焊线2,2026-07-24T06:44:34,TO-220-3L-C(T0.5mm)
Q26074689-1-3,N19-3,2QHB09,焊线2,2026-07-24T07:01:14,TO-220-3L-C(T0.5mm)
Q26065398-2,N14-5,2QHB124,焊线2,2026-07-24T07:01:29,TOLL-8L(6R)
Q26073676-9,D17-10,3QHS3737,焊线2,2026-07-24T06:59:33,TSSOP8(8R)
Q26074663-3-3,N21-7,2QHB24,焊线2,2026-07-24T08:13:26,TO-220-3L-C(T0.5mm)
Q26065397-3,N13-3,2QHB116,焊线2,2026-07-23T15:56:13,TOLL-8L(6R)
Q26074686-2-1,N19-3,2QHB09,焊线2,2026-07-24T09:18:50,TO-220-3L-C(T0.5mm)
Q26071464-1,D06-10,3QHS3782,焊线2,2026-07-23T18:02:01,SOP8(150mil)(12R)
Q26055760-64,C10-06,3QHS4121,焊线2,2026-07-24T13:19:14,SOP16(300mil)(5R)
Q26074663-2-1,N21-3,2QHB18,焊线2,2026-07-24T13:27:17,TO-220-3L-C(T0.5mm)
Q26067485-10,C15-01,3QHS4232,焊线2,2026-07-24T13:03:24,SSOP14/PP(150mil)(8R)
Q26079294-1,S01-02,3QHS4171,焊线2,2026-07-22T20:08:48,SSOP24/PP(150mil)(9R)(P0.65)
Q26073515-2,N14-7,2QHB120,焊线2,2026-07-23T21:41:26,TO-252-2L(8R)
Q26074446-1,N15-2,2QHB114,焊线2,2026-07-23T21:42:28,TO-263-7L(2R)
Q26073284-2,Q03-04,3QHS3888,焊线2,2026-07-23T12:43:36,DFNWB2*2-6L-SB(P0.65T0.55)(1 block)
Q26064474-5,C14-10,3QHS4174,焊线2,2026-07-24T10:50:55,SSOP16/PP(150mil)(8R)(P0.5)
Q26067873-4,N17-7,2QHB81,焊线2,2026-07-24T10:55:07,TO-252-2L(6R)
Q26073352-4,N20-6,2QHB52,焊线2,2026-07-24T10:40:32,PDFNWB5×6-8L(P1.27T0.95)
Q26067157-6,Q01-20,3QHS761,焊线2,2026-07-24T11:27:23,DFNWB3*2-14L-C(P0.40T0.75)(1 block)
Q26071921-4,N,2QHB126,焊线2,2026-07-24T13:46:04,TO-252-2L(8R)
Q26067870-6,N21-4,2QHB19,焊线2,2026-07-24T12:56:25,TO-252-2L(6R)
Q26067871-5,N15-5,2QHB75,焊线2,2026-07-24T13:56:39,TO-252-2L(6R)
Q26074684-1-3,N21-7,2QHB24,焊线2,2026-07-24T13:50:39,TO-220-3L-C(T0.5mm)
Q26074652-19,Q10-12,3QHS389,焊线2,2026-07-24T14:10:12,DFNWB2*3-6L-SA(P0.50T0.75)(1 block)
Q26065400-3,N17-4,2QHB68,焊线2,2026-07-24T12:48:17,TOLL-8L(6R)
Q26067561-14,N8-3,3QHS3017,焊线2,2026-07-24T13:04:06,SOP8(150mil)(12R)
Q26065397-2,N16-7,2QHB98,焊线2,2026-07-24T14:44:00,TOLL-8L(6R)
Q26065399-1,N12-3,2QHB110,焊线2,2026-07-24T14:56:40,TOLL-8L(6R)
Q26067561-8,N8-5,3QHS696,焊线2,2026-07-24T14:18:37,SOP8(150mil)(12R)
Q26064711-7,C14-09,3QHS4183,焊线2,2026-07-24T14:08:49,SSOP16/PP(150mil)(8R)(P0.5A)
