SUBLOT,AREA,EQP,STEP,DATES,PACKAGE
Q26066042-18,C01-15,3QHS3835,三光检验,2026-07-22T22:35:53,SSOP16/PP(150mil)(8R)(P0.5)
Q26072774-8,N12-9,2QHB109,三光检验,2026-07-24T06:30:05,TO-263-7L(2R)
Q26071759-1,N17-5,2QHB82,三光检验,2026-07-18T01:50:53,TOLL-8L(6R)
Q26066429-4,C04-14,3QHS4275,三光检验,2026-07-24T10:11:06,SOP8(150mil)(12R)
Q26066042-14,C01-03,3QHS3843,三光检验,2026-07-24T01:08:06,SSOP16/PP(150mil)(8R)(P0.5)
Q26071629-4,C11-06,3QHS4136,三光检验,2026-07-24T01:43:06,SOP8/PP(150mil)(12R)
Q26067924-6,C16-06,3QHS4267,三光检验,2026-07-24T07:21:57,SOP14(9R)
Q26067490-3,C01-11,3QHS3924,三光检验,2026-07-23T06:26:10,SSOP14/PP(150mil)(8R)
Q26067923-6-1,C07-15,3QHS4291,三光检验,2026-07-24T12:19:04,SOP16(300mil)(5R)
Q26065892-5,C05-10,3QHS4187,三光检验,2026-07-24T07:21:25,SOP8(150mil)(12R)
Q26064709-12,C16-04,3QHS4260,三光检验,2026-07-21T22:49:43,SSOP16/PP(150mil)(8R)(P0.5A)
Q26072621-24,D07-08,3QHS3774,三光检验,2026-07-24T06:40:17,DFNWB1.45*1-6L-G(P0.50T0.55)
Q26072621-25,Q09-08,3QHS703,三光检验,2026-07-24T02:59:24,DFNWB1.45*1-6L-G(P0.50T0.55)
Q26067490-9,C01-12,3QHS3922,三光检验,2026-07-24T07:25:52,SSOP14/PP(150mil)(8R)
Q26066042-17,C01-15,3QHS3835,三光检验,2026-07-24T02:19:08,SSOP16/PP(150mil)(8R)(P0.5)
Q26074621-1,N16-8,2QHB99,三光检验,2026-07-23T02:28:07,TO-263-7L(2R)
Q26067813-4,C03-07,3QHS4185,三光检验,2026-07-24T10:36:33,SOP8(150mil)(12R)
Q26072441-1,C03-11,3QHS4288,三光检验,2026-07-24T10:39:36,SOP14(9R)
Q26052870-5-1,C04-05,3QHS4278,三光检验,2026-07-23T13:15:07,SOP16(300mil)(5R)
Q26065490-13,C10-12,3QHS4229,三光检验,2026-07-24T07:53:17,HTSSOP32/PP(240mil)(8R)
Q26067490-10,C01-02,3QHS3821,三光检验,2026-07-24T03:57:04,SSOP14/PP(150mil)(8R)
Q26067490-11,C01-12,3QHS3922,三光检验,2026-07-23T04:10:58,SSOP14/PP(150mil)(8R)
Q26065490-14,C17-06,3QHS4218,三光检验,2026-07-24T09:03:13,HTSSOP32/PP(240mil)(8R)
Q26057206-36,C17-03,3QHS4225,三光检验,2026-07-24T06:19:28,TSSOP16(173mil)(10R)
Q26072771-2,N17-5,2QHB82,三光检验,2026-07-24T06:33:17,TOLL-8L(6R)
Q26057206-40,C16-09,3QHS4269,三光检验,2026-07-24T12:28:28,TSSOP16(173mil)(10R)
Q26057206-37,C11-05,3QHS4135,三光检验,2026-07-24T05:52:31,TSSOP16(173mil)(10R)
Q26068492-4,C14-05,3QHS4178,三光检验,2026-07-24T07:17:21,SOP8(150mil)(12R)
Q26064708-1,C15-10,3QHS4243,三光检验,2026-07-23T13:02:55,SSOP16/PP(150mil)(8R)(P0.5A)
Q26066429-5,C17-01,3QHS4207,三光检验,2026-07-24T07:09:49,SOP8(150mil)(12R)
Q26056768-10,C04-15,3QHS4195,三光检验,2026-07-24T07:00:07,SOP8(150mil)(12R)
Q26067148-18,C10-02,3QHS4106,三光检验,2026-07-21T02:59:40,TSSOP14(173mil)(10R)
Q26065043-1,C15-05,3QHS4237,三光检验,2026-07-24T08:04:22,MSOP10/PP
Q26072774-9,N15-7,2QHB55,三光检验,2026-07-24T09:32:29,TO-263-7L(2R)
Q26068492-2,C14-14,3QHS4180,三光检验,2026-07-24T09:17:46,SOP8(150mil)(12R)
Q26057206-39,C17-11,3QHS4224,三光检验,2026-07-24T10:32:14,TSSOP16(173mil)(10R)
Q26067813-5,C17-09,3QHS4216,三光检验,2026-07-24T12:23:22,SOP8(150mil)(12R)
Q26065490-9,C10-09,3QHS4125,三光检验,2026-07-24T10:56:42,HTSSOP32/PP(240mil)(8R)
Q26052300-3,C14-06,3QHS4179,三光检验,2026-07-24T11:23:50,SOP14(9R)
Q26057206-38,C10-13,3QHS4108,三光检验,2026-07-24T10:46:38,TSSOP16(173mil)(10R)
Q26065335-13-2,C17-07,3QHS4221,三光检验,2026-07-24T09:17:17,SOP14(9R)
Q26066042-13,C01-15,3QHS3835,三光检验,2026-07-22T14:34:34,SSOP16/PP(150mil)(8R)(P0.5)
Q26066357-3,N1-4,2QHE60,三光检验,2026-07-21T04:10:35,PDFNWB5×6-8L(P1.27T0.95)
Q26066352-3,N1-4,2QHE60,三光检验,2026-07-19T01:51:05,PDFNWB5×6-8L(P1.27T0.95)
Q26066351-3,N1-4,2QHE60,三光检验,2026-07-19T07:10:15,PDFNWB5×6-8L(P1.27T0.95)
Q26066355-2,N1-4,2QHE60,三光检验,2026-07-19T14:19:30,PDFNWB5×6-8L(P1.27T0.95)
Q26066355-3,N1-4,2QHE60,三光检验,2026-07-20T12:42:40,PDFNWB5×6-8L(P1.27T0.95)
Q26066358-1,N1-4,2QHE60,三光检验,2026-07-23T20:14:14,PDFNWB5×6-8L(P1.27T0.95)
Q26072668-4,N16-8,2QHB99,三光检验,2026-07-22T21:16:40,TO-263-7L(2R)
Q26066041-17,C01-02,3QHS3821,三光检验,2026-07-22T21:01:22,SSOP14/PP(150mil)(8R)
Q26064708-10,C14-09,3QHS4183,三光检验,2026-07-23T09:48:51,SSOP16/PP(150mil)(8R)(P0.5A)
Q26066336-13,C17-12,3QHS4208,三光检验,2026-07-24T02:48:51,MSOP10(8R)
